cr_returned_date_sk|cr_returned_time_sk|cr_item_sk|cr_refunded_customer_sk|cr_refunded_cdemo_sk|cr_refunded_hdemo_sk|cr_refunded_addr_sk|cr_returning_customer_sk|cr_returning_cdemo_sk|cr_returning_hdemo_sk|cr_returning_addr_sk|cr_call_center_sk|cr_catalog_page_sk|cr_ship_mode_sk|cr_warehouse_sk|cr_reason_sk|cr_order_number|cr_return_quantity|cr_return_amount|cr_return_tax|cr_return_amt_inc_tax|cr_fee|cr_return_ship_cost|cr_refunded_cash|cr_reversed_charge|cr_store_credit|cr_net_loss
2451000|34882|883|6950|31765|1573|3461|8346|143276|7025|4461|1|62|15|1|1|15|6|827.88|0.00|827.88|1.93|94.86|637.46|182.80|7.62|96.79
2451012|62844|1016|4957|189998|3839|2327|536|169034|4743|2172|1|65|12|1|2|16|44|7593.52|607.48|8201.00|7.87|3394.60|379.67|6925.29|288.56|4009.95
2450915|45403|139|2003|23192|||2718||||1|6||||18||||||||88.69||
2450980|45816|1339|2003|23192|3708|2937|2003|23192|4703|2937|1|15|2|1|1|18|18|1359.18|54.36|1413.54|91.23|700.20|1250.44|65.24|43.50|845.79
2450949|74710|818|7389|27132|4828|3171|2809|89310|991|4832|1|100|2|1|3|19|7|23.17|0.92|24.09|52.54|75.95|3.01|8.66|11.50|129.41
2451000|14570|224|5751|38072|2633|674|1994|13325|4477|4229|1|102|19|1|3|21|27|938.25|37.53|975.78|30.10|264.60|75.06|138.11|725.08|332.23
2451009|23942|7|5751|38072|2633|674|5751|38072|1819|674|1|92|9|1|1|21|25|2663.75|0.00|2663.75|9.88|1476.25|1331.87|492.79|839.09|1486.13
2450995|72396|1195|1242|157092|6015|2978|6503|80502|5158|4301|1|39|16|1|1|22|10|0.00|0.00|0.00|24.35|32.60|0.00|0.00|0.00|56.95
2450926|37262|188|1242|157092|6015|2978|1770|81601|4798|1275|1|1|13|1|2|22|50|101.50|0.00|101.50|9.47|93.00|88.30|1.05|12.15|102.47
2450928|72943|1219|1242|157092|6015|2978|4020|41506|3314|2355|1|14|18|1|2|22|8|44.64|2.23|46.87|99.29|50.00|42.85|0.93|0.86|151.52
2451058|49090|1628|4703|23842|6661|1087|4703|23842|517|1087|1|13|16|1|3|23|31|459.11|22.95|482.06|76.96|700.60|234.14|49.49|175.48|800.51
2450951|66715|676|5067|54728|6342|1803|3385|43565|7151|4730|1|68|14|1|3|27|29|578.26|5.78|584.04|56.51|1012.10|156.13|396.80|25.33|1074.39
2450914|76884|1012|5067|54728|6342|1803|1961|101079|3148|1137|1|65|17|1|3|27|3|30.57|2.44|33.01|16.34|13.20|7.64|17.88|5.05|31.98
2451000|48762|1414|5067|54728|6342|1803|6993|7351|4293|2748|1|72|20|1|2|27|1|49.04|0.98|50.02|92.67|38.31|38.25|2.69|8.10|131.96
2450972|48342|838|4262|127506|7070|4274|4262|127506|3051|4274|1|22|7|1|1|31|5|169.80|15.28|185.08|43.05|24.25|45.84|78.09|45.87|82.58
2451042|76756|1400|4262|127506|7070|4274|7422|28699|1993|4454|1|73|10|1|3|31|48|2856.48|257.08|3113.56|14.21|5453.28|142.82|434.18|2279.48|5724.57
2450995|78358|1228|4262|127506|7070|4274|6782|37518|421|3804|1|96|6|1|3|31|20|465.80|0.00|465.80|93.89|415.80|209.61|174.20|81.99|509.69
2450950|44643|181|388|174162|3089|1663|2715|82025|6480|4015|1|49|13|1|1|32|39|5497.05|164.91|5661.96|1.79|1236.69|3353.20|1350.62|793.23|1403.39
2450852|8496|1405|388|174162|3089|1663|2269|138481|6631|4021|1|36|18|1|2|32|17|98.09|4.90|102.99|49.74|228.82|41.19|49.50|7.40|283.46
2450988|35588|146|388|174162|3089|1663|5305|63413|6417|2821|1|23|13|1|3|32|50|469.50|42.25|511.75|17.86|1468.00|258.22|200.71|10.57|1528.11
2450908|43560|1396|7486|157221|1516|378|3924|189708|5562|136|1|13|11|1|1|33|16|644.16|0.00|644.16|23.21|598.08|328.52|227.26|88.38|621.29
2450949|29803|106|6755|65596|2357|4358|1717|175216|71|3533|1|100|5|1|2|34|14|463.12|23.15|486.27|32.48|115.78|115.78|65.99|281.35|171.41
2450970|11023|751|2919|141653|914|3888|2919|141653|5379|3888|1|94|16|1|2|35|5|21.45|1.50|22.95|17.49|157.55|0.00|19.09|2.36|176.54
2450965|43001|1088|2919|141653|914|3888|1783|183553|5247|3068|1|94|17|1|3|35|22|2069.98|20.69|2090.67|41.71|583.66|869.39|888.43|312.16|646.06
2450975|81295|1624|2919|141653|914|3888|2919|141653|3733|3888|1|30|15|1|3|35|3|96.96|7.75|104.71|78.27|96.96|63.99|12.52|20.45|182.98
2450910|75571|1141|61|134015|4976|457|3926|142172|2674|3583|1|56|16|1|1|38|1|10.74|0.21|10.95|88.02|5.71|2.89|1.57|6.28|93.94
2451042|49249|256|8898|56609|2560|3991|3632|87924|7045|726|1|107|9|1|3|39|37|936.84|65.57|1002.41|52.01|175.38|496.52|171.72|268.60|292.96
2451003|38396|1177|8898|56609|2560|3991|9352|102841|6632|1863|1|37|16|1|2|39|8|581.76|0.00|581.76|36.15|426.64|290.88|2.90|287.98|462.79
2450977|60266|1789|6283|157402|4874|3146|2194|112334|1086|1758|1|53|1|1|1|40|7|881.02|8.81|889.83|33.39|224.91|590.28|203.51|87.23|267.11
2450928|45793|1489|6161|164849|7057|4352|6106|45748|1716|3564|1|96|15|1|1|41|3|48.66|3.89|52.55|42.14|37.95|4.86|36.79|7.01|83.98
2451015|55642|769|7159|187189|7059|3962|9104|130147|3697|4800|1|41|10|1|3|42|20|1887.00|150.96|2037.96|31.33|742.40|981.24|461.93|443.83|924.69
2451050|71104|158|7159|187189|7059|3962|2311|124464|5571|2485|1|64|13|1|1|42|2|2.52|0.15|2.67|22.97|27.76|0.05|2.17|0.30|50.88
2450877|71963|272|6871|62008|6585|1842|4600|155734|2843|2312|1|15|19|1|2|46|5|92.25|7.38|99.63|1.56|51.85|44.28|11.51|36.46|60.79
2450912|80315|542|5722|169816|3877|3331|8955|6363|4188|4566|1|61|7|1|2|47|25|811.75|64.94|876.69|1.73|54.00|40.58|362.44|408.73|120.67
2450951|58431|1214|8373|43007|3754|3268|1504|1762|6019|4476|1|44|7|1|2|49|28|1098.16|98.83|1196.99|5.38|277.20|571.04|137.05|390.07|381.41
2451038|65717|650|4061|148476|651|2746|559|140135|3316|4570|1|53|6|1|1|50|28|903.00|81.27|984.27|82.55|361.20|623.07|89.57|190.36|525.02
2450975|14576|506|1731|87099|6020|1541|2975|137917|1331|625|1|77|14|1|1|51|20|624.40|56.19|680.59|18.73|832.60|218.54|255.69|150.17|907.52
2451027|28319|1040|3786|4819|2059|3219|8358|151547|3974|1888|1|5|3|1|3|52|1|7.80|0.31|8.11|95.81|3.18|4.75|0.09|2.96|99.30
2450948|28947|274|9127|2046|6038|4270|9127|2046|5123|4270|1|30|3|1|2|56|31|4941.09|296.46|5237.55|91.33|1524.89|1630.55|331.05|2979.49|1912.68
2451022|70701|61|2732|100888|5571|1567|2732|100888|713|1567|1|12|4|1|3|57|10|441.20|4.41|445.61|73.35|200.50|251.48|62.60|127.12|278.26
2451061|40465|1640|2732|100888|5571|1567|7607|37202|5082|3395|1|107|8|1|1|57|19|396.72|27.77|424.49|83.17|650.56|95.21|153.77|147.74|761.50
2451009|53983|1774|1940|70463|6139|1062|8858|127764|5866|2735|1|50|8|1|3|58|9|242.73|19.41|262.14|57.21|348.93|116.51|71.94|54.28|425.55
2451036|20241|1270|3021|67244|2860|4403|6800|15030|4189|4668|1|67|5|1|1|59|51|201.45|18.13|219.58|13.41|481.95|14.10|110.53|76.82|513.49
2450990|32717|1687|2650|61172|5661|2543|2291|15687|5745|1450|1|60|11|1|3|60|27|3799.17|265.94|4065.11|41.38|1978.83|417.90|2299.26|1082.01|2286.15
2451029|66796|1666|8665|34677|2722|1327|9035|132157|1109|1588|1|74|4|1|1|61|48|1647.36|0.00|1647.36|19.24|4283.04|181.20|58.64|1407.52|4302.28
2450997|28638|94|4758|187629|2853|3124|1681|16278|7154|197|1|43|12|1|2|63|43|5193.11|0.00|5193.11|60.00|749.92|3894.83|1103.53|194.75|809.92
2450856|25355|266|4758|187629|2853|3124|8898|105571|3487|810|1|78|12|1|2|63|42|1163.82|58.19|1222.01|59.49|387.66|430.61|505.91|227.30|505.34
2450981|35833|1000|5621|72787|960|53|8077|132845|6108|4|1|7|6|1|1|64|6|98.16|8.83|106.99|18.02|3.90|42.20|27.42|28.54|30.75
2451024|18005|355|55|130365|6355|4352|1418|155572|2894|4023|1|2|16|1|2|65|3|432.99|38.96|471.95|79.87|304.92|95.25|108.07|229.67|423.75
2450923|76161|1760|7214|75272|1090|2181|940|98550|515|2967|1|94|2|1|1|67|17|1386.69|110.93|1497.62|62.40|640.05|804.28|430.98|151.43|813.38
2450890|16356|1328|7214|75272|1090|2181|1473|100333|2799|3112|1|16|4|1|2|67|21|1497.09|89.82|1586.91|47.95|224.49|1452.17|21.56|23.36|362.26
2450911|17556|368|7214|75272|1090|2181|1485|148475|6866|937|1|63|3|1|1|67|34|359.38|0.00|359.38|74.00|215.56|251.56|73.31|34.51|289.56
2450981|384|820||75272|||6787||5364|3257||35||||67|||62.64|1106.79|69.45|459.90||317.95||591.99
2450951|36592|590|6229|137508|1027|1426|2521|128027|4017|2367|1|1|4|1|1|69|49|1242.15|49.68|1291.83|29.79|894.74|1080.67|124.33|37.15|974.21
2451009|20680|1717|3701|135944|3274|3284|9179|80319|1325|371|1|98|9|1|2|70|1|92.73|1.85|94.58|75.84|33.61|6.49|62.09|24.15|111.30
2450938|55946|104|173|5719|5778|1204|1729|68198|5616|2907|1|4|14|1|1|72|1|9.89|0.09|9.98|95.81|17.66|5.04|3.88|0.97|113.56
2450963|32861|607|4024|12922|653|144|9628|86985|7009|4513|1|92|5|1|1|73|67|2596.25|181.73|2777.98|86.96|854.92|51.92|279.87|2264.46|1123.61
2450996|85209|134|3448|10097|4139|2661|9778|137575|6134|3333|1|41|3|1|1|74|71|1887.89|113.27|2001.16|45.83|702.90|1151.61|515.39|220.89|862.00
2450912|61869|226|9543|135930|7070|457|8942|158891|894|4504|1|14|7|1|1|75|24|2366.40|70.99|2437.39|58.89|110.88|662.59|1243.78|460.03|240.76
2450990|44538|1216|9543|135930|7070|457|3027|161621|54|2647|1|41|12|1|3|75|26|2063.36|0.00|2063.36|4.58|1678.56|1815.75|141.13|106.48|1683.14
2450996|10904|1|7674|127461|448|4635|8008|136904|1410|2436|1|69|7|1|2|77|1|89.21|2.67|91.88|19.85|56.50|24.08|37.12|28.01|79.02
2451073|61590|1676|9468|142506|3704|4022|2833|108537|2955|46|1|49|6|1|2|81|63|1620.36|0.00|1620.36|52.08|2004.03|1150.45|84.58|385.33|2056.11
2450880|61296|1189|4942|97232|4242|3139|7852|87913|4595|2317|1|4|3|1|2|83|10|206.30|4.12|210.42|18.27|3.40|158.85|4.74|42.71|25.79
2450957|66045|1759|4942|97232|4242|3139|3896|177299|3606|4546|1|56|20|1|3|83|4|35.40|0.70|36.10|5.22|13.80|9.91|17.84|7.65|19.72
2451051|35317|292|9408|93226|1684|3222|4040|15881|1358|748|1|52|12|1|2|85|27|168.21|11.77|179.98|53.67|350.73|38.68|98.44|31.09|416.17
2450882|61704|1540|2224|47350|5629|3508|2422|17619|6126|1313|1|14|14|1|3|86|76|980.40|68.62|1049.02|70.64|534.28|401.96|237.16|341.28|673.54
2451000|71254|901|6800|5003|1159|2115|5103|111685|105|92|1|69|6|1|1|88|2|42.50|1.70|44.20|66.79|16.46|41.22|1.06|0.22|84.95
2450998|68072|152|5977|148399|5894|1829|3440|79600|3039|3438|1|98|9|1|3|89|11|16.61|0.16|16.77|78.67|133.32|2.32|0.14|14.15|212.15
2450936|80535|50|1252|105388|1764|3020|7210|89060|3896|3579|1|86|14|1|2|90|53|1879.91|112.79|1992.70|59.55|906.83|1015.15|665.86|198.90|1079.17
2450921|59610|974|2188|74573|3071|1136|4093|75944|4342|2013|1|71|7|1|3|91|19|1698.60|33.97|1732.57|84.33|1095.16|1443.81|71.34|183.45|1213.46
2450935|77827|1546|2188|74573|3071|1136|7809|55318|3332|2739|1|28|1|1|3|91|6|23.70|1.18|24.88|85.12|267.06|1.42|14.03|8.25|353.36
2451058|73896|1642||168351|1551||||2804|2301|||||3|92|24|330.72||330.72|21.60|330.72|112.44||172.45|
2450906|54086|892|9651|128433|655|2357|4745|130869|4706|2983|1|33|14|1|2|100|18|445.68|13.37|459.05|60.89|99.00|387.74|38.24|19.70|173.26
2450908|74068|1264|9651|128433|655|2357|3006|170849|187|1125|1|33|19|1|1|100|15|173.10|0.00|173.10|66.03|471.15|131.55|4.57|36.98|537.18
2450947|33216|44|9651|128433|655|2357|1012|121312|1431|2357|1|67|1|1|2|100|31|205.53|16.44|221.97|26.38|423.77|69.88|51.54|84.11|466.59
2450879|6852|292|9410|122512|4094|2836|8548|166803|3853|4056|1|56|5|1|1|102|32|1600.64|96.03|1696.67|64.91|2443.20|1056.42|413.60|130.62|2604.14
2451013|44862|1183|9410|122512|4094|2836|4361|95936|4412|4568|1|24|16|1|2|102|11|235.40|9.41|244.81|81.56|40.59|9.41|13.55|212.44|131.56
2450889|58243|370|4648|37262|6643|4217|9936|45730|825|1160|1|61|5|1|3|104|18|710.46|42.62|753.08|12.70|0.00|113.67|143.22|453.57|55.32
2450893|23680|1594|5481|87480|3159|3551|6898|90548|1164|1620|1|98|8|1|3|107|64|3875.20|193.76|4068.96|26.78|1536.64|38.75|3491.16|345.29|1757.18
2450972|56596|638|5481|87480|3159|3551|4673|147809|34|4099|1|71|7|1|3|107|18|359.10|28.72|387.82|61.36|1197.36|301.64|11.49|45.97|1287.44
2451051|76706|848|2770|93715|5220|1645|6750|43500|2540|1427|1|9|14|1|2|108|36|6207.84|248.31|6456.15|82.43|1455.84|5773.29|91.25|343.30|1786.58
2451008|52322|1012|8450|20542|2394|2366|7438|172246|1020|2227|1|78|15|1|2|110|8|1.36|0.10|1.46|44.06|4.08|0.55|0.80|0.01|48.24
2450926|9721|415|8450|20542|2394|2366|7716|167724|2541|4438|1|26|9|1|3|110|9|166.41|14.97|181.38|19.25|52.11|99.84|11.31|55.26|86.33
2451006|78832|148|8450|20542|2394|2366|3513|125655|5695|4655|1|3|8|1|2|110|72|468.00|32.76|500.76|87.15|160.56|411.84|52.22|3.94|280.47
2450953|50089|862|1121|70155|7142|3376|3775|160940|7125|1517|1|78|19|1|3|111|11|575.85|0.00|575.85|88.05|16.39|535.54|13.30|27.01|104.44
2450980|80293|1171|5288|150797|3426|2942|9398|181617|4236|775|1|22|5|1|1|113|59|3188.95|95.66|3284.61|18.85|1784.16|1466.91|1635.93|86.11|1898.67
2451000|75922|1610|2964|162818|1599|293|485|52913|1871|1309|1|24|3|1|2|114|1|30.39|2.12|32.51|28.04|11.62|4.25|22.74|3.40|41.78
2451028|40410|1117|6613|148691|7089|2327|6613|148691|6876|2327|1|82|7|1|1|115|14|156.10|1.56|157.66|74.50|1048.32|120.19|3.23|32.68|1124.38
2450926|32366|1646|732|157097|215|380|8304|136709|611|2513|1|2|19|1|3|117|13|535.08|42.80|577.88|39.95|411.58|21.40|431.49|82.19|494.33
2450942|75334|445|3116|60977|5878|3859|690|87109|3910|3584|1|72|20|1|1|118|1|2.60|0.00|2.60|8.55|2.08|0.05|0.28|2.27|10.63
2450967|20357|1790|925|12316|5067|1938|7389|4049|4591|2933|1|26|19|1|1|120|2|50.08|4.00|54.08|43.98|230.36|32.05|15.50|2.53|278.34
2450988|45502|926|925|12316|5067|1938|5221|149486|1365|3691|1|69|15|1|2|120|4|134.72|5.38|140.10|74.45|81.28|83.52|47.10|4.10|161.11
2450942|74148|859|9591|40271|2024|864|6570|187931|4705|279|1|66|8|1|2|122|9|528.03|42.24|570.27|79.00|19.08|79.20|318.66|130.17|140.32
2451021|4941|1540|7876|112198|5880|4882|3964|90591|7124|3810|1|41|2|1|3|123|30|1553.10|31.06|1584.16|33.38|1653.30|310.62|149.09|1093.39|1717.74
2450908|30988|202|5744|32702|2780|1498|7517|141357|4901|798|1|6|16|1|1|124|9|589.86|29.49|619.35|31.06|96.66|395.20|44.77|149.89|157.21
2451023|83311|769|8170|||831|8170|||831||81|14|1||125|||||||31.73||35.52|
2450905|53894|158|8170|44875|5293|831|5144|159897|4042|4667|1|82|2|1|1|125|9|755.91|45.35|801.26|24.42|383.13|309.92|80.27|365.72|452.90
2450936|85505|979|8170|44875|5293|831|4504|44431|6764|3824|1|24|17|1|3|125|50|274.00|13.70|287.70|84.61|203.50|24.66|211.93|37.41|301.81
2450986|32771|284|231|186679|6887|4415|7018|131202|1694|3066|1|22|2|1|2|126|31|1458.55|43.75|1502.30|13.13|1054.62|58.34|448.06|952.15|1111.50
2450921|58461|1088|4038|32341|4597|2853|2170|66629|2303|1290|1|51|5|1|2|128|14|1334.76|120.12|1454.88|91.23|355.88|1081.15|50.72|202.89|567.23
2450978|70447|895|4038|32341|4597|2853|8584|107656|2338|813|1|79|5|1|3|128|8|713.52|0.00|713.52|24.46|24.56|563.68|124.36|25.48|49.02
2450990|60162|1483|9708||||4994|||4335||75||||130|57|3160.65|0.00||||2433.70|268.97|457.98|1372.61
2450918|42502|470|796|139123|683|3|6997|145358|4379|1473|1|99|2|1|1|134|22|435.38|13.06|448.44|37.02|777.48|148.02|117.81|169.55|827.56
2450960|32485|1141|796|139123|683|3|3111|59856|1727|965|1|6|19|1|1|134|2|129.04|5.16|134.20|13.16|20.56|121.29|6.66|1.09|38.88
2451038|71633|601|796|139123|683|3|2040|87836|3561|2519|1|7|20|1|2|134|12|406.92|28.48|435.40|29.71|313.92|268.56|47.04|91.32|372.11
2450876|72606|1544|3571|655|746|4710|4727|145322|6807|2725|1|66|13|1|3|139|9|623.61|12.47|636.08|91.82|381.06|555.01|19.20|49.40|485.35
2450954|31776|175|3571|655|746|4710|4131|128174|1235|2569|1|54|12|1|3|139|20|1267.40|50.69|1318.09|51.81|120.60|988.57|256.52|22.31|223.10
2450996|20700|289|3571|655|746|4710|2990|10338|5738|1098|1|10|18|1|2|139|51|3771.45|150.85|3922.30|32.55|1077.12|2904.01|208.18|659.26|1260.52
2450905|40555|1610|3571|655|746|4710|9470|44449|3280|4751|1|87|17|1|3|139|5|779.50|31.18|810.68|0.58|75.75|623.60|144.98|10.92|107.51
2450913|65297|1120|5767|168206|2645|4084|4153|98768|7156|664|1|92|8|1|1|141|1|125.15|1.25|126.40|36.57|81.62|60.07|46.20|18.88|119.44
2451063|75299|1280|5767|168206|2645|4084|5767|168206|3894|4084|1|99|7|1|1|141|63|4376.61|131.29|4507.90|6.36|437.22|2494.66|1580.83|301.12|574.87
2451029|32609|832|6201|84080|6312|1944|7399|177075|1877|3479|1|83|5|1|2|142|15|228.75|13.72|242.47|56.04|393.90|91.50|68.62|68.63|463.66
2450976|82228|388|4193|109598|3676|3594|6349|31237|3395|313|1|43|14|1|3|143|24|1222.08|0.00|1222.08|29.54|540.24|488.83|542.60|190.65|569.78
2450934|46579|1412|9687|244|5968|2332|9909|16383|3361|4146|1|35|20|1|3|148|29|267.67|10.70|278.37|44.26|112.52|246.25|4.49|16.93|167.48
2450992|67140|124|9687|244|5968|2332|9687|244|6134|2332|1|86|6|1|2|148|82|6821.58|613.94|7435.52|47.63|7696.52|3956.51|2435.30|429.77|8358.09
2450982|74575|1160|6122|165684|4413|3335|1941|93669|2551|680|1|84|13|1|3|149|2|106.42|5.32|111.74|15.73|16.22|67.04|10.63|28.75|37.27
2450992|46475|718|3742|30723|5897|798|6324|66431|4974|3630|1|77|5|1|2|151|5|294.80|17.68|312.48|60.64|20.45|191.62|82.54|20.64|98.77
2450982|58441|1501|8945|102754|4930|4299|7948|187193|618|4290|1|85|12|1|3|152|1|1.59|0.04|1.63|39.09|7.97|0.03|1.20|0.36|47.10
2450956|71785|632|839|127408|5064|1000|4167|169593|4316|552|1|13|14|1|2|154|74|4329.00|43.29|4372.29|35.10|1095.94|779.22|3443.28|106.50|1174.33
2451072|36709|1471|8393|181777|3834|4178|2844|70048|5317|586|1|94|6|1|2|157|18|0.00|0.00|0.00|26.39|997.20|0.00|0.00|0.00|1023.59
2451002|65342|784|8393|181777|3834|4178|7187|125174|5795|3849|1|21|12|1|3|157|5|320.50|9.61|330.11|96.93|55.55|256.40|41.66|22.44|162.09
2450885|62676|1621|8307|130499|1138|530|2531|154751|173|3442|1|26|15|1|1|158|72|840.96|58.86|899.82|7.73|164.16|176.60|471.69|192.67|230.75
2450911|22967|40|6893|100518|1230|775|5825|44001|3001|121|1|56|8|1|2|159|14|441.56|8.83|450.39|78.57|385.42|128.05|94.05|219.46|472.82
2451065|48981|1738|4511|153865|1972|2479|632|157753|5911|3829|1|78|17|1|1|160|55|4979.15|0.00|4979.15|69.42|2009.15|4033.11|747.37|198.67|2078.57
2451019|43490|608|4511|153865|1972|2479|1115|187612|1141|3270|1|6|4|1|2|160|3|159.48|6.37|165.85|22.10|3.93|31.89|37.00|90.59|32.40
2450969|70049|673|6125|167651|537|3143|6528|129094|3104|641|1|37|16|1|2|161|1|6.11|0.18|6.29|36.31|0.94|4.03|1.68|0.40|37.43
2450896|72631|944|5043|37130|4450|1377|8754|103024|590|1189|1|63|13|1|1|163|43|79.55|2.38|81.93|23.85|325.51|63.64|1.27|14.64|351.74
2450955|33519|1657|5043|37130|4450|1377|5043|37130|3670|1377|1|168|20|1|3|163|75|2034.75|81.39|2116.14|86.13|1055.25|651.12|968.54|415.09|1222.77
2450999|54362|571|5043|37130|4450|1377|4229|175975|6907|3566|1|53|9|1|1|163|19|1561.23|109.28|1670.51|94.11|1694.99|1248.98|71.81|240.44|1898.38
2450967|30343|1675|6034|130701|4968|2482|8927|97146|4658|2697|1|88|14|1|1|164|2|11.38|0.00|11.38|71.97|17.08|3.98|1.62|5.78|89.05
2451012|53881|1405|6034|130701|4968|2482|8053|99184|2936|1968|1|34|11|1|1|164|9|261.09|15.66|276.75|91.16|127.62|0.00|182.76|78.33|234.44
2450939|37939|1183|8367|192051|5368|3092|933|155926|2244|3762|1|28|3|1|1|165|4|230.16|18.41|248.57|52.64|131.52|78.25|148.87|3.04|202.57
2450964|75222|1633|8367|192051|5368|3092|9304|91970|3425|40|1|92|5|1|2|165|1|10.39|0.41|10.80|28.91|11.38|8.20|0.54|1.65|40.70
2451059|68424|1057|3708|47144|4533|1369|3060|178716|4039|42|1|56|18|1|2|166|67|308.20|18.49|326.69|44.94|2055.56|52.39|69.06|186.75|2118.99
2450893|40969|1372|3708|47144|4533|1369|3708|47144|6423|1369|1|100|6|1|1|166|13|88.27|5.29|93.56|79.25|35.23|9.70|67.57|11.00|119.77
2450962|21816|122|2073|73712|1751|4190|4123|135135|98|1821|1|38|10|1|2|167|27|9.99|0.49|10.48|22.46|166.32|1.49|1.02|7.48|189.27
2450872|23855|1472|7693|161765|6444|1196|575|9205|4209|4173|1|92|18|1|2|168|18|48.78|2.92|51.70|33.53|138.60|27.31|2.79|18.68|175.05
2450865|65198|562|7693|161765|6444|1196|339|19938|540|1109|1|62|2|1|2|168|48|50.88|0.50|51.38|77.34|101.76|16.28|5.88|28.72|179.60
2451042|41406|967|9067|147813|3806|552|1542|22210|4665|2113|1|12|11|1|3|169|9|864.99|69.19|934.18|96.61|155.25|596.84|262.78|5.37|321.05
2450979|81694|952|9256|21304|4232|3520|79|109421|595|1096|1|39|12|1|2|170|1|68.39|4.78|73.17|39.26|35.68|16.41|9.35|42.63|79.72
2451009|42571|397|475|101945|2408|4798|9796|14748|1917|486|1|9|20|1|1|173|57|3637.74|72.75|3710.49|9.23|2567.85|291.01|2911.65|435.08|2649.83
2451061|56879|1012|7171|132415|5946|957|3490|1347|6239|2924|1|44|6|1|3|174|2|27.56|0.27|27.83|95.35|47.00|9.92|0.70|16.94|142.62
2451046|66524|1672|7171|132415|5946|957|674|48290|5146|835|1|5|3|1|2|174|21|388.08|34.92|423.00|80.03|231.63|372.55|7.45|8.08|346.58
2451033|11891|148|7171|132415|5946|957|3188|88142|2974|4286|1|78|2|1|2|174|1|66.46|0.66|67.12|30.32|5.72|45.19|16.59|4.68|36.70
2451004|40470|1414|7171|132415|5946|957|1654|127813|1923|2680|1|101|17|1|3|174|18|430.38|21.51|451.89|35.78|105.30|68.86|202.45|159.07|162.59
2450942|43460|680|7171|132415|5946|957|8225|126664|6528|2872|1|73|17|1|2|174|35|2622.55|78.67|2701.22|4.17|316.40|1075.24|1268.79|278.52|399.24
2451080|7497|1639|6053|95123|4626|4136|4439|122024|2903|2495|1|92|11|1|3|175|62|4628.30|370.26|4998.56|36.94|2093.74|3147.24|1407.00|74.06|2500.94
2451005|58885|1555|6053|95123|4626|4136|3467|145682|347|4739|1|108|8|1|3|175|42|622.02|12.44|634.46|77.12|307.44|329.67|292.35|0.00|397.00
2451040|63732|1051|6053|95123|4626|4136|7942|3506|3133|4687|1|109|15|1|1|175|12|2348.28|93.93|2442.21|9.83|1161.24|704.48|805.46|838.34|1265.00
2450983|38626|872|519|129290|3148|2639|8089|53539|905|1111|1|82|16|1|1|176|66|434.94|8.69|443.63|6.56|417.78|269.66|120.65|44.63|433.03
2451034|63854|1243|474|27799|6997|1835|7296|115530|2830|4250|1|26|16|1|1|177|8|70.32|4.21|74.53|64.28|28.56|26.01|30.57|13.74|97.05
