sr_returned_date_sk|sr_return_time_sk|sr_item_sk|sr_customer_sk|sr_cdemo_sk|sr_hdemo_sk|sr_addr_sk|sr_store_sk|sr_reason_sk|sr_ticket_number|sr_return_quantity|sr_return_amt|sr_return_tax|sr_return_amt_inc_tax|sr_fee|sr_return_ship_cost|sr_refunded_cash|sr_reversed_charge|sr_store_credit|sr_net_loss
2451935|37091|1433|811|46967|960|3520|1|2|43|63|151.20|0.00|151.20|90.22|682.29|120.96|28.72|1.52|772.51
2452442||61||||4925|||44|25|||599.67|1.81||||114.94|
2452315||403|6606|||2409|||45|8|36.32|||94.05|||18.54|8.34|
2452320|59811|925|6606|52662|6927|2985|1|1|45|24|1855.92|148.47|2004.39|97.56|1003.20|1670.32|154.04|31.56|1249.23
2451470|50439|916|2197|28956|6308|2340|1|3|46|43|4331.82|259.90|4591.72|54.75|866.02|1646.09|2282.87|402.86|1180.67
2452769|43279|489|1202|182137|1733|376|1|1|48|32|1031.36|92.82|1124.18|24.29|664.00|856.02|112.21|63.13|781.11
2451699|54153|134|3517|125634|4670|4593|1|1|51|2|73.92|5.91|79.83|34.71|20.52|68.74|0.93|4.25|61.14
2451167|45922|392|4927|141950|6813|1309|1|2|52|31|2420.48|145.22|2565.70|28.63|923.49|1137.62|64.14|1218.72|1097.34
2452782|60821|504|8157|135909|4191|3920|1|2|54|28|909.44|18.18|927.62|34.02|378.84|709.36|116.04|84.04|431.04
2452702|29862|907|5806|115371|1016|4821|1|3|54|3|86.55|0.00|86.55|75.30|14.40|13.84|61.07|11.64|89.70
2452625|44481|1371|8157|1499|2172|4638|1|2|54|78|2853.24|57.06|2910.30|86.60|1268.28|1341.02|771.23|740.99|1411.94
2451754|45289|781|1601|90459|4850|4321|1|2|58|21|1455.93|131.03|1586.96|26.21|151.20|931.79|356.41|167.73|308.44
2452233|58735|609|2654|185513|1639|3732|1|3|60|24|1910.88|76.43|1987.31|29.03|1135.44|57.32|1575.52|278.04|1240.90
2452344|38957|653|2654|189835|3185|1935|1|3|60|31|355.57|14.22|369.79|97.98|338.83|110.22|14.72|230.63|451.03
2452292|41617|943|8197|128167|3093|2339|1|3|62|1|8.12|0.73|8.85|60.90|6.22|0.64|5.23|2.25|67.85
2452356|60645|315|8197|34295|3793|284|1|3|62|70|2712.50|54.25|2766.75|43.61|180.60|569.62|1542.87|600.01|278.46
2452223|37463|1485|8197|62154|2978|2082|1|1|62|3|119.61|10.76|130.37|17.47|49.83|66.98|15.78|36.85|78.06
2452578|50999|1687|6129|63920|2719|718|1|3|63|5|196.10|13.72|209.82|57.84|92.05|3.92|84.55|107.63|163.61
2452501|37769|1083|8017|83157|520|4730|1|3|64|39|921.57|55.29|976.86|41.98|416.13|368.62|530.83|22.12|513.40
2452349|57022|1549|3973|161816|1849|1195|1|2|65|75|4284.00|257.04|4541.04|93.75|2817.00|3298.68|29.55|955.77|3167.79
2452512|48748|1041|4624|133811|1517|3896|1|1|67|1|77.75|1.55|79.30|51.09|60.02|10.10|4.05|63.60|112.66
2451191|45734|799|2564|22822|713|2451|1|3|68|46|1583.32|47.49|1630.81|94.63|495.88|0.00|759.99|823.33|638.00
2451103|54259|388|2564|112269|3671|2993|1|2|68|5|350.40|0.00|350.40|23.45|284.25|147.16|24.38|178.86|307.70
2451679|37864|1508|2064|45727|6914|454|1|3|69|2|9.08|0.09|9.17|34.38|5.74|7.53|0.40|1.15|40.21
2451999|55275|1544|4344|5431|4908|298|1|1|70|34|75.82|3.03|78.85|39.15|31.62|43.97|2.22|29.63|73.80
2451262|53555|1219|5239|189320|7027|4814|1|1|71|9|78.12|3.12|81.24|76.81|5.40|21.87|54.00|2.25|85.33
2451878|46294|1334|602|72818|1765|1105|1|3|72|7|160.79|8.03|168.82|50.69|13.37|88.43|10.13|62.23|72.09
2451504|31864|361|5309|52128|767|4413|1|1|73|3|14.43|0.86|15.29|39.16|1.14|8.08|4.06|2.29|41.16
2451226||1510|||625||1||74|11|586.52|52.78|639.30|||117.30||187.69|299.96
2451139|57475|79|9214|108328|6806|1724|1|1|77|16|38.72|3.09|41.81|68.44|242.24|34.07|0.09|4.56|313.77
2451090|33857|1664|282|183877|1251|1105|1|2|78|75|2628.75|52.57|2681.32|88.67|1404.00|184.01|1197.92|1246.82|1545.24
2451240|60606|1268|7368|174560|2290|4587|1|2|80|3|163.95|6.55|170.50|24.05|59.61|90.17|9.59|64.19|90.21
2451184|31653|1696|7368|185587|6304|581|1|1|80|60|2574.60|102.98|2677.58|87.99|816.00|1930.95|418.37|225.28|1006.97
2451221|36723|37|4625|55614|3912|2650|1|3|81|74|5510.04|330.60|5840.64|16.21|1377.14|110.20|4859.85|539.99|1723.95
2451307|55190|220|4625|122331|4450|2776|1|2|81|41|3852.36|0.00|3852.36|23.32|359.57|3197.45|157.17|497.74|382.89
2451497|34728|373|896|83321|484|4334|1|2|82|9|234.63|7.03|241.66|87.25|351.90|145.47|21.39|67.77|446.18
2451372||368||140596|5552||1|2|82|5|24.55||24.55||||2.50|12.23|99.52
2451428|33544|914|5177|19312|3847|2382|1|1|82|36|277.92|25.01|302.93|65.68|176.40|250.12|14.73|13.07|267.09
2452700||535||||807|||83|15||12.57||58.70|193.95||75.42|0.00|
2452682|38770|781|2678|162021|3766|4431|1|1|83|12|368.52|25.79|394.31|4.05|120.72|261.64|50.23|56.65|150.56
2452684|34442|714|8062|48989|6189|2876|1|2|83|75|5130.00|0.00|5130.00|67.09|2611.50|2308.50|1890.40|931.10|2678.59
2452728|52158|693|8012|87266|3673|3327|1|2|83|22|2301.20|0.00|2301.20|31.89|721.16|736.38|1251.85|312.97|753.05
2452651|38634|1353|7091|64218|6955|4452|1|1|84|28|1192.52|47.70|1240.22|76.30|264.88|560.48|259.13|372.91|388.88
2451270|36964|1582|3472|23108|3148|2708|1|3|85|19|798.95|31.95|830.90|44.74|436.62|103.86|215.47|479.62|513.31
2452701|43246|517|6359|162785|6490|1882|1|3|86|14|631.54|0.00|631.54|58.54|110.46|214.72|62.52|354.30|169.00
2451559|40772|460|1438|29941|560|1299|1|1|87|54|782.46|31.29|813.75|88.17|205.74|187.79|428.16|166.51|325.20
2452339|33881|89|4272|61708|1466|2104|1|3|88|49|416.50|12.49|428.99|11.38|45.57|416.50|0.00|0.00|69.44
2451890|49385|170|4994|119808|3124|2200|1|1|89|15|1489.80|74.49|1564.29|86.13|331.05|208.57|38.43|1242.80|491.67
2452305|43959|227||||90|1||90|8|139.60||152.16||164.24||40.21|4.47|
2451249|56307|1130|306|53884|2045|1719|1|3|92|2|13.48|0.13|13.61|63.12|7.62|1.21|1.71|10.56|70.87
2451172|42141|1346|306|157708|6650|4592|1|2|92|10|75.20|6.76|81.96|3.31|75.20|67.68|5.79|1.73|85.27
2451107|60021|67|306|13734|6573|252|1|1|92|9|296.37|2.96|299.33|24.68|172.89|163.00|110.69|22.68|200.53
2452618|50818|1626|3789|152903|4364|3338|1|2|94|4|221.88|2.21|224.09|12.59|21.64|181.94|19.97|19.97|36.44
2452328|35509|557|1907|89690|2303|4036|1|1|96|93|1833.96|73.35|1907.31|81.12|416.64|1522.18|62.35|249.43|571.11
2452345|34843|349|1907|126167|2864|761|1|3|96|10|90.80|0.00|90.80|17.44|156.90|50.84|34.36|5.60|174.34
2452499|52904|601|7232|32822|5894|533|1|2|99|2|153.02|13.77|166.79|5.87|127.52|52.02|90.90|10.10|147.16
2452367|54117|213|5875|69284|4069|1094|1|1|100|74|3927.18|157.08|4084.26|92.16|1357.16|3455.91|353.45|117.82|1606.40
2452366|49752|1659|5875|141285|465|3878|1|2|100|24|1366.56|109.32|1475.88|73.42|186.24|109.32|1043.50|213.74|368.98
2451287|42659|1184|5242|80393|4565|937|1|2|101|4|331.64|19.89|351.53|66.57|42.04|298.47|1.99|31.18|128.50
2451599|31028|1150|8117|154511|938|372|1|1|104|32|750.72|67.56|818.28|39.47|281.28|698.16|12.61|39.95|388.31
2452259|35538|1031|4634|83509|2224|1699|1|2|105|49|5229.28|52.29|5281.57|49.57|966.28|941.27|1072.00|3216.01|1068.14
2452104|52476|827|7533|42633|5549|4818|1|2|106|24|1545.36|46.36|1591.72|78.43|205.92|741.77|755.37|48.22|330.71
2452016|37030|1585|7533|43625|1686|580|1|1|106|1|0.00|0.00|0.00|69.29|1.63|0.00|0.00|0.00|70.92
2452067|32072|1721|5780|121770|6408|4446|1|2|107|7|131.67|7.90|139.57|26.23|56.42|119.81|8.06|3.80|90.55
2452050|31518|1647|5780|126420|3698|2056|1|3|107|60|1278.00|63.90|1341.90|55.53|670.20|1226.88|50.60|0.52|789.63
2451608|51323|946|5322|95079|4484|4449|1|1|108|16|1695.68|84.78|1780.46|77.11|1156.16|16.95|1007.23|671.50|1318.05
2451644|55823|8|5322|151711|2852|2233|1|2|108|57|1855.35|74.21|1929.56|44.61|0.00|964.78|819.32|71.25|118.82
2451655|52395|1048|8136|133999|3799|4559|1|1|109|12|657.72|13.15|670.87|98.58|354.96|315.70|171.01|171.01|466.69
2451748|35381|301|2405|53850|6441|1312|1|3|110|7|452.20|27.13|479.33|56.42|260.33|226.10|115.31|110.79|343.88
2452625|60270|357|7948|125417|4445|4753|1|2|111|18|495.36|44.58|539.94|53.32|1321.02|257.58|211.62|26.16|1418.92
2452651|52183|691|7948|124448|4521|2161|1|2|111|3|6.51|0.00|6.51|77.02|8.01|2.01|0.54|3.96|85.03
2452053|49129|621|4742|186327|5609|4964|1|1|114|28|56.00|4.48|60.48|70.50|70.56|31.36|12.81|11.83|145.54
2452111|57416|271|4742|27522|2160|4525|1|1|114|6|50.22|1.50|51.72|1.01|125.58|47.20|1.63|1.39|128.09
|38178|1645||189710|||1|3|115|13|||189.54|27.37||101.79|2.94|70.77|
2452365|35103|1212|787|191091|2852|2980|1|2|116|9|38.70|0.00|38.70|95.87|387.72|29.79|6.14|2.77|483.59
2452341|34452|405|787|4577|4626|3108|1|3|116|25|417.25|25.03|442.28|18.72|446.00|29.20|151.33|236.72|489.75
2452406|44446|432|787|144533|6356|412|1|3|116|2|59.80|3.58|63.38|83.74|61.60|47.84|10.40|1.56|148.92
2451579|34073|542|7808|80426|2331|2403|1|2|117|2|262.28|0.00|262.28|67.52|23.60|34.09|66.17|162.02|91.12
2451598|49671|1519|4199|58142|4385|2621|1|3|119|8|0.00|0.00|0.00|92.07|405.68|0.00|0.00|0.00|497.75
2451264|50242|982|3005|39295|6677|2146|1|2|121|6|571.68|40.01|611.69|84.58|9.06|491.64|40.02|40.02|133.65
2451276|56966|1538|4145|48015|2476|4377|1|3|122|20|755.00|0.00|755.00|65.61|203.20|7.55|523.21|224.24|268.81
2451312|55539|1552|4145|58597|1139|4408|1|3|122|37|597.18|0.00|597.18|56.07|646.76|489.68|80.62|26.88|702.83
2451299|56873|727|4145|109607|4814|2134|1|2|122|62|57.04|2.85|59.89|83.60|161.82|10.26|30.87|15.91|248.27
2451574|31335|538|2978|32176|2061|2179|1|1|123|60|2336.40|210.27|2546.67|11.28|2955.00|1752.30|29.20|554.90|3176.55
2451675|56468|1262|8969|48258|3627|1803|1|1|123|76|4732.52|141.97|4874.49|2.83|1203.08|3880.66|366.29|485.57|1347.88
2451506|43864|410|1908|14303|6326|4389|1|2|124|39|2648.88|0.00|2648.88|25.82|523.77|1907.19|311.50|430.19|549.59
2451518|50546|1501|6955|52921|3400|2446|1|3|124|6|469.14|32.83|501.97|63.59|250.20|347.16|58.55|63.43|346.62
2451459|49211|1309|5567|19451|295|3059|1|2|124|24|961.68|48.08|1009.76|42.61|378.72|490.45|240.32|230.91|469.41
2451984|50333|497|2596|58703|275|2734|1|1|125|9|28.53|1.71|30.24|82.40|0.99|15.12|12.20|1.21|85.10
2451973|49578|625|2596|65570|2969|3761|1|1|125|51|2245.02|134.70|2379.72|59.97|439.62|291.85|625.01|1328.16|634.29
2452699|40808|1645|4165|32307|3546|2178|1|1|126|7|436.10|8.72|444.82|95.27|179.55|331.43|34.54|70.13|283.54
2452639|37466|528|43|52361|4679|4444|1|3|126|34|129.20|2.58|131.78|97.18|326.74|55.55|18.41|55.24|426.50
2452140|50723|643|2696|47991|726|1941|1|3|128|13|520.13|36.40|556.53|84.78|323.31|390.09|66.32|63.72|444.49
2452147|34843|1705|7005|178772|175|4625|1|2|128|18|946.44|75.71|1022.15|39.22|16.02|473.22|468.48|4.74|130.95
|40734|169||47570||4418|1||128|41||19.32||||1391.57|||
||159|8959|186562|||1|1|128|25|287.50||||215.50||41.11||
2451207|53097|1670|7622|45332|2016|1180|1|3|130|48|5378.88|107.57|5486.45|42.93|2288.64|5217.51|145.23|16.14|2439.14
2451141|60332|1033|1469|108775|2624|3546|1|3|131|25|1629.75|130.38|1760.13|96.58|1241.75|65.19|62.58|1501.98|1468.71
2451622|45864|334|3461|160495|1943|3838|1|1|132|14|23.52|1.64|25.16|17.99|129.78|14.81|5.83|2.88|149.41
2451608|60818|896|3461|177948|5889|4790|1|2|132|28|382.20|26.75|408.95|31.79|186.48|370.73|10.09|1.38|245.02
2451549|38642|1591|3461|52797|2766|3535|1|3|132|17|865.98|77.93|943.91|93.44|1373.77|493.60|316.52|55.86|1545.14
2451550|57319|109|3461|19443|688|2420|1|2|132|9|70.02|1.40|71.42|63.40|83.43|35.01|5.95|29.06|148.23
2451806|58991|1123|708|126744|320|3056|1|1|133|6|950.16|47.50|997.66|45.44|167.64|560.59|112.97|276.60|260.58
2451876|36646|500|5475|38754|3346|4658|1|1|133|24|2359.20|0.00|2359.20|48.87|24.24|1132.41|613.39|613.40|73.11
2451896||1166|3197||2795|||3|135|3|254.55|0.00|254.55||68.37|201.09|13.89||81.00
2451851|47450|1235|3197|52995|59|3603|1|2|135|10|292.30|11.69|303.99|93.54|187.40|149.07|101.69|41.54|292.63
2452562|36453|343|7595|175511|3623|1015|1|3|136|3|60.96|0.00|60.96|1.81|19.38|51.81|0.91|8.24|21.19
2451576|58914|1618|3850|126581|4253|198|1|3|138|5|24.25|0.00|24.25|30.75|0.00|11.88|1.11|11.26|30.75
2451637|32451|937|3850|191031|4338|3692|1|1|138|63|854.28|42.71|896.99|8.25|240.66|785.93|11.61|56.74|291.62
2451661|54713|223|3850|150790|4636|2089|1|2|138|64|1623.68|81.18|1704.86|96.21|662.40|146.13|1152.48|325.07|839.79
2451523|31290|556|3850|25049|6429|3802|1|1|138|25|859.50|42.97|902.47|73.17|308.75|842.31|9.62|7.57|424.89
2452047|55126|899|9057|115785|4752|279|1|3|139|65|1946.75|0.00|1946.75|18.02|549.25|837.10|798.94|310.71|567.27
2452149|57688|501|9057|131150|6057|771|1|1|139|13|348.66|20.91|369.57|83.52|174.33|55.78|38.07|254.81|278.76
2452094|50943|1649|9057|91912|2716|1593|1|2|139|8|479.28|4.79|484.07|63.53|0.00|62.30|304.39|112.59|68.32
2452094|44523|377|1738|159934|6010|4399|1|2|140|29|33.93|2.37|36.30|44.23|181.25|1.69|13.21|19.03|227.85
2452029|43253|1037|1738|47230|4709|948|1|2|140|25|64.50|3.22|67.72|51.83|26.25|64.50|0.00|0.00|81.30
2452094|45315|1371|1570|170282|1074|1426|1|3|140|64|4155.52|166.22|4321.74|36.19|2128.00|3906.18|112.20|137.14|2330.41
2451995|58847|623|7161|34959|3752|4298|1|3|141|31|642.32|25.69|668.01|52.24|550.56|545.97|24.08|72.27|628.49
||167|5668|61660|3388|676|||142|||10.76|369.57||896.76||||1004.16
2452531|51736|1476|7955|69100|518|623|1|2|143|14|1162.70|81.38|1244.08|38.12|724.78|186.03|9.76|966.91|844.28
||398|3826|118817||1836|1||144||5.76|0.34||49.86|||1.46||53.62
2452658|33430|954|7576|110309|4419|3809|1|2|145|9|280.80|16.84|297.64|8.06|76.59|33.69|192.74|54.37|101.49
2451038|45975|364|8341|28039|6290|1654|1|1|146|8|919.28|64.34|983.62|10.46|199.84|790.58|36.03|92.67|274.64
2451809|41815|914|8065|77814|3797|907|1|1|147|8|771.84|15.43|787.27|56.99|572.24|455.38|50.63|265.83|644.66
2451149||782|2299|182830||772|||148||807.04||839.32||760.76|790.89|11.46||851.54
2452335|31106|1397|1514|9358|6076|3714|1|2|150|61|1238.30|111.44|1349.74|62.17|1187.06|1114.47|111.44|12.39|1360.67
2451971|55730|1195|9252|6558|2652|4633|1|2|154|76|205.20|12.31|217.51|69.04|924.92|16.41|60.41|128.38|1006.27
2451934|34913|17|9252|28160|2618|4963|1|3|154|2|109.46|4.37|113.83|48.09|16.84|103.98|2.52|2.96|69.30
2451872|34273|1595|9252|144868|6754|3367|1|2|154|1|25.55|1.27|26.82|9.54|7.22|12.26|7.97|5.32|18.03
2451971|33663|1141|7327|33087|557|1260|1|2|155|85|337.45|10.12|347.57|46.30|4391.95|87.73|92.39|157.33|4448.37
2451961|37015|1313|1865|10112|919|1519|1|2|156|1|33.50|2.68|36.18|70.54|6.09|4.69|23.04|5.77|79.31
2452039|29067|488|4923|128847|5011|4702|1|2|156|43|199.09|13.93|213.02|56.67|168.99|87.59|28.99|82.51|239.59
2451900|40219|1339|1865|155685|853|2421|1|3|156|67|2704.79|189.33|2894.12|1.62|989.59|2055.64|32.45|616.70|1180.54
2452395|49983|257|9692|43849|6821|4993|1|1|157|60|6666.60|266.66|6933.26|73.63|182.40|1799.98|3503.96|1362.66|522.69
2451318|43584|374|3251|126507|4395|1363|1|3|158|2|3.84|0.03|3.87|96.75|0.22|0.38|1.38|2.08|97.00
2451557|56960|1759|4823|190611|2745|4039|1|3|159|2|151.18|1.51|152.69|42.93|92.64|98.26|4.23|48.69|137.08
2452090|60458|261|6901|73793|3029|2385|1|2|160|29|3286.28|230.03|3516.31|97.54|1342.70|1741.72|957.62|586.94|1670.27
2451714|35992|536|6432|62368|5288|208|1|1|164|11|518.21|31.09|549.30|14.45|110.99|62.18|9.12|446.91|156.53
2451817|32886|367|6432|21402|1507|372|1|1|164|43|3865.70|38.65|3904.35|2.53|2362.42|1855.53|1206.10|804.07|2403.60
2450999|33966|440|2420|94996|3166|4136|1|3|165|2|20.22|1.81|22.03|56.54|19.58|13.14|5.94|1.14|77.93
2450960|29097|1238|2420|130302|4759|3903|1|2|165|3|279.30|11.17|290.47|39.75|114.24|189.92|50.94|38.44|165.16
2452702|50204|741|4588|130689|2790|3138|1|1|167|51|1238.28|12.38|1250.66|1.13|1499.40|829.64|8.17|400.47|1512.91
2452614|45390|618|5395|157341|527|1400|1|1|167|38|826.88|49.61|876.49|81.26|163.40|727.65|83.35|15.88|294.27
2452565|31423|1551|4161|85071|1877|2050|1|2|168|2|19.78|0.79|20.57|20.61|39.58|14.43|3.53|1.82|60.98
2451061|37430|1291|7854|29016|2851|1573|1|3|170|47|3438.99|68.77|3507.76|30.72|286.23|2200.95|619.02|619.02|385.72
2451042|29679|1130||93851|651|||1|170|2|||18.61|||0.00|11.61||
2452391|35854|1633|3253|111522|309|3023|1|1|172|43|701.76|35.08|736.84|54.06|491.92|350.88|259.65|91.23|581.06
2452426||1235||18134|||1|2|172|76|1830.84||1958.99|||||210.92|
2451097|32630|976|7090|154550|4301|2732|1|3|173|3|165.33|0.00|165.33|71.10|55.11|61.17|5.20|98.96|126.21
2450919|29031|250|8588|57836|124|139|1|3|174|18|121.68|7.30|128.98|98.08|341.10|38.93|21.51|61.24|446.48
2450913|31888|1690|181|148295|6615|688|1|1|174|15|1105.20|11.05|1116.25|36.80|187.65|817.84|287.36|0.00|235.50
2452669|47058|867|554|21051|3948|2092|1|1|175|25|555.50|22.22|577.72|73.90|129.50|338.85|75.82|140.83|225.62
2452808|51154|1740|8727|150994|4980|2406|1|2|175|16|22.40|1.34|23.74|74.30|426.72|12.09|1.85|8.46|502.36
2452721|55510|325|8727|119763|348|4693|1|2|175|16|1241.60|37.24|1278.84|66.24|819.84|37.24|794.87|409.49|923.32
2452174|30991|509|9995|87672|7109|3419|1|1|176|4|287.96|17.27|305.23|19.13|123.92|213.09|51.66|23.21|160.32
2452742|29174|1285|3824|144757|2402|3167|1|3|177|5|185.70|11.14|196.84|50.39|105.30|98.42|52.36|34.92|166.83
2452648|41711|891|3824|39467|891|4362|1|3|177|36|646.20|6.46|652.66|89.85|441.36|600.96|11.76|33.48|537.67
||1387|3824|61376||||3|177||392.31|35.30|427.61|||309.92|||
2452661|43020|601|3190|70915|3203|2531|1|1|178|5|81.80|4.09|85.89|54.28|47.50|20.45|61.35|0.00|105.87
2452581|31342|567|3190|38116|7015|3754|1|3|178|2|17.22|0.86|18.08|71.54|9.06|13.60|2.89|0.73|81.46
2452567|56704|799|460|87534|5306|4638|1|2|179|48|3127.20|250.17|3377.37|84.99|1756.32|813.07|2244.70|69.43|2091.48
2452590|54131|1518|460|85604|6848|3892|1|1|179|84|392.28|19.61|411.89|18.13|162.12|231.44|32.16|128.68|199.86
