ws_sold_date_sk|ws_sold_time_sk|ws_ship_date_sk|ws_item_sk|ws_bill_customer_sk|ws_bill_cdemo_sk|ws_bill_hdemo_sk|ws_bill_addr_sk|ws_ship_customer_sk|ws_ship_cdemo_sk|ws_ship_hdemo_sk|ws_ship_addr_sk|ws_web_page_sk|ws_web_site_sk|ws_ship_mode_sk|ws_warehouse_sk|ws_promo_sk|ws_order_number|ws_quantity|ws_wholesale_cost|ws_list_price|ws_sales_price|ws_ext_discount_amt|ws_ext_sales_price|ws_ext_wholesale_cost|ws_ext_list_price|ws_ext_tax|ws_coupon_amt|ws_ext_ship_cost|ws_net_paid|ws_net_paid_inc_tax|ws_net_paid_inc_ship|ws_net_paid_inc_ship_tax|ws_net_profit
2452625|34964|2452725|1626|2296|51930|2684|2278|7428|103153|3907|901|1|1|11|1|24|2|74|19.15|57.45|57.45|0.00|4251.30|1417.10|4251.30|170.05|0.00|807.34|4251.30|4421.35|5058.64|5228.69|2834.20
2452625|34964|2452743|1261|2296|51930|2684|2278|7428|103153|3907|901|6|1|5|1|24|2|13|89.10|134.54|55.16|1031.94|717.08|1158.30|1749.02|64.53|0.00|174.85|717.08|781.61|891.93|956.46|-441.22
2452625|34964|2452702|1062|2296|51930|2684|2278|7428|103153|3907|901|3|1|16|1|27|2|47|49.64|68.99|12.41|2659.26|583.27|2333.08|3242.53|52.49|0.00|1134.58|583.27|635.76|1717.85|1770.34|-1749.81
2452625|34964|2452638|1561|2296|51930|2684|2278|7428|103153|3907|901|1|1|16|1|11|2|12|7.24|12.16|11.91|3.00|142.92|86.88|145.92|10.00|0.00|29.16|142.92|152.92|172.08|182.08|56.04
2451754|1529|2451774|247|4800|67045|3450|3375|4180|142665|5550|1475|2|1|7|1|6|3|6|45.21|67.36|30.31|222.30|181.86|271.26|404.16|16.36|0.00|185.88|181.86|198.22|367.74|384.10|-89.40
2451754|1529|2451819|1472|4800|67045|3450|3375|4180|142665|5550|1475|2|2|3|1|27|3|43|9.62|13.08|9.02|174.58|387.86|413.66|562.44|19.39|0.00|117.82|387.86|407.25|505.68|525.07|-25.80
2451754|1529|2451836|254|4800|67045|3450|3375|4180|142665|5550|1475|5|2|1|1|13|3|57|35.95|62.55|43.78|1069.89|2495.46|2049.15|3565.35|224.59|0.00|962.16|2495.46|2720.05|3457.62|3682.21|446.31
2451754|1529|2451769|728|4800|67045|3450|3375|4180|142665|5550|1475|5|2|6|1|12|3|93|65.80|152.65|29.00|11499.45|2697.00|6119.40|14196.45|215.76|0.00|7097.76|2697.00|2912.76|9794.76|10010.52|-3422.40
2451754|1529|2451763|458|4800|67045|3450|3375|4180|142665|5550|1475|2|2|18|1|6|3|93|55.42|127.46|1.27|11735.67|118.11|5154.06|11853.78|4.72|0.00|1421.97|118.11|122.83|1540.08|1544.80|-5035.95
2451754|1529|2451863|1466|4800|67045|3450|3375|4180|142665|5550|1475|2|2|3|1|4|3|82|48.65|91.94|8.27|6860.94|678.14|3989.30|7539.08|13.56|0.00|2788.82|678.14|691.70|3466.96|3480.52|-3311.16
2451754|1529|2451868|1298|4800|67045|3450|3375|4180|142665|5550|1475|5|1|9|1|9|3|33|80.23|90.65|55.29|1166.88|1824.57|2647.59|2991.45|0.00|0.00|478.50|1824.57|1824.57|2303.07|2303.07|-823.02
2451754|1529|2451833|1721|4800|67045|3450|3375|4180|142665|5550|1475|5|1|1|1|9|3|96|14.57|30.59|8.25|2144.64|792.00|1398.72|2936.64|55.44|0.00|968.64|792.00|847.44|1760.64|1816.08|-606.72
2451754|1529|2451858|1142|4800|67045|3450|3375|4180|142665|5550|1475|5|1|8|1|23|3|58|83.12|218.60|139.90|4564.60|8114.20|4820.96|12678.80|81.14|0.00|2281.72|8114.20|8195.34|10395.92|10477.06|3293.24
2451754|1529|2451785|1322|4800|67045|3450|3375|4180|142665|5550|1475|5|1|20|1|29|3|44|5.04|5.04|0.10|217.36|4.40|221.76|221.76|0.13|0.00|106.04|4.40|4.53|110.44|110.57|-217.36
2451754|1529|2451839|407|4800|67045|3450|3375|4180|142665|5550|1475|5|1|17|1|7|3|50|18.97|42.68|21.76|1046.00|1088.00|948.50|2134.00|54.40|0.00|405.00|1088.00|1142.40|1493.00|1547.40|139.50
2451754|1529|2451778|1400|4800|67045|3450|3375|4180|142665|5550|1475|1|1|5|1|25|3|68|6.25|10.31|6.08|287.64|413.44|425.00|701.08|28.94|0.00|195.84|413.44|442.38|609.28|638.22|-11.56
2451754|1529|2451857|179|4800|67045|3450|3375|4180|142665|5550|1475|5|2|4|1|12|3|28|22.77|47.81|3.34|1245.16|93.52|637.56|1338.68|4.67|0.00|267.68|93.52|98.19|361.20|365.87|-544.04
2451754|1529|2451846|1595|4800|67045|3450|3375|4180|142665|5550|1475|1|2|12|1|13|3|63|61.25|115.76|41.67|4667.67|2625.21|3858.75|7292.88|78.75|0.00|1823.22|2625.21|2703.96|4448.43|4527.18|-1233.54
2451754|1529|2451801|1670|4800|67045|3450|3375|4180|142665|5550|1475|1|2|2|1|19|3|65|5.37|10.31|2.06|536.25|133.90|349.05|670.15|7.47|9.37|26.65|124.53|132.00|151.18|158.65|-224.52
2451754|1529|2451791|1435|4800|67045|3450|3375|4180|142665|5550|1475|1|2|9|1|1|3|74|74.66|83.61|52.67|2289.56|3897.58|5524.84|6187.14|116.92|0.00|1546.60|3897.58|4014.50|5444.18|5561.10|-1627.26
2451483|77832|2451543|1414|9187|128199|4331|4456|7757|51673|2525|2697|2|1|3|1|18|4|26|77.15|198.27|109.04|2319.98|2835.04|2005.90|5155.02|36.28|2381.43|206.18|453.61|489.89|659.79|696.07|-1552.29
2451483|77832|2451494|319|9187|128199|4331|4456|7757|51673|2525|2697|4|2|3|1|17|4|25|99.00|292.05|262.84|730.25|6571.00|2475.00|7301.25|65.71|0.00|3285.50|6571.00|6636.71|9856.50|9922.21|4096.00
2451483|77832|2451584|1042|9187|128199|4331|4456|7757|51673|2525|2697|4|2|7|1|28|4|80|14.55|42.34|27.09|1220.00|2167.20|1164.00|3387.20|43.34|0.00|609.60|2167.20|2210.54|2776.80|2820.14|1003.20
2451483|77832|2451591|1180|9187|128199|4331|4456|7757|51673|2525|2697|2|2|13|1|5|4|54|64.58|160.80|120.60|2170.80|6512.40|3487.32|8683.20|586.11|0.00|3646.62|6512.40|7098.51|10159.02|10745.13|3025.08
2451483|77832|2451538|964|9187|128199|4331|4456|7757|51673|2525|2697|4|1|20|1|12|4|30|54.81|81.11|22.71|1752.00|681.30|1644.30|2433.30|6.81|0.00|0.00|681.30|688.11|681.30|688.11|-963.00
2451483|77832|2451511|224|9187|128199|4331|4456|7757|51673|2525|2697|4|2|6|1|20|4|19|87.13|170.77|155.40|292.03|2952.60|1655.47|3244.63|88.57|0.00|486.59|2952.60|3041.17|3439.19|3527.76|1297.13
2451483|77832|2451489|1510|9187|128199|4331|4456|7757|51673|2525|2697|2|1|16|1|22|4|29|86.36|90.67|68.90|631.33|1998.10|2504.44|2629.43|159.84|0.00|236.64|1998.10|2157.94|2234.74|2394.58|-506.34
2451483|77832|2451541|1171|9187|128199|4331|4456|7757|51673|2525|2697|2|2|4|1|7|4|2|4.21|10.90|0.54|20.72|1.08|8.42|21.80|0.07|0.00|5.88|1.08|1.15|6.96|7.03|-7.34
2451483|77832|2451575|1262|9187|128199|4331|4456|7757|51673|2525|2697|4|1|18|1|19|4|42|56.94|107.04|102.75|180.18|4315.50|2391.48|4495.68|43.15|0.00|1708.14|4315.50|4358.65|6023.64|6066.79|1924.02
2451483|77832|2451587|691|9187|128199|4331|4456|7757|51673|2525|2697|2|1|12|1|20|4|91|88.66|242.04|183.95|5286.19|16739.45|8068.06|22025.64|502.18|0.00|0.00|16739.45|17241.63|16739.45|17241.63|8671.39
2451483|77832|2451487|1687|9187|128199|4331|4456|7757|51673|2525|2697|1|2|15|1|8|4|10|32.29|45.85|30.71|151.40|307.10|322.90|458.50|0.61|276.39|137.50|30.71|31.32|168.21|168.82|-292.19
2451945|25492|2451992|425|6395|16853|1391|2089|2505|101805|983|4681|3|1|18|1|29|5|1|66.29|174.34|137.72|36.62|137.72|66.29|174.34|4.62|71.61|45.32|66.11|70.73|111.43|116.05|-0.18
2451945|25492|2451954|437|6395|16853|1391|2089|2505|101805|983|4681|1|3|19|1|14|5|7|66.22|145.68|144.22|10.22|1009.54|463.54|1019.76|80.76|0.00|193.69|1009.54|1090.30|1203.23|1283.99|546.00
2451945|25492|2451998|791|6395|16853|1391|2089|2505|101805|983|4681|5|3|2|1|17|5|10|87.53|150.55|58.71|918.40|587.10|875.30|1505.50|27.12|135.03|316.10|452.07|479.19|768.17|795.29|-423.23
2451945|25492|2451963|961|6395|16853|1391|2089|2505|101805|983|4681|3|1|11|1|12|5|83|4.36|10.15|4.66|455.67|386.78|361.88|842.45|27.07|0.00|151.06|386.78|413.85|537.84|564.91|24.90
2451945|25492|2452016|763|6395|16853|1391|2089|2505|101805|983|4681|1|3|4|1|14|5|20|71.90|103.53|85.92|352.20|1718.40|1438.00|2070.60|154.65|0.00|227.60|1718.40|1873.05|1946.00|2100.65|280.40
2451945|25492|2452004|1189|6395|16853|1391|2089|2505|101805|983|4681|3|1|12|1|21|5|26|81.47|126.27|27.77|2561.00|722.02|2118.22|3283.02|50.54|0.00|1411.54|722.02|772.56|2133.56|2184.10|-1396.20
2451945|25492|2452025|1459|6395|16853|1391|2089|2505|101805|983|4681|5|3|12|1|5|5|32|30.81|40.05|22.02|576.96|704.64|985.92|1281.60|35.23|0.00|358.72|704.64|739.87|1063.36|1098.59|-281.28
2451945|25492|2452055|1515|6395|16853|1391|2089|2505|101805|983|4681|1|3|2|1|3|5|44|68.96|143.43|61.67|3597.44|2713.48|3034.24|6310.92|135.67|0.00|0.00|2713.48|2849.15|2713.48|2849.15|-320.76
2451945|25492|2451949|69|6395|16853|1391|2089|2505|101805|983|4681|3|1|12|1|30|5|41|6.21|11.92|1.31|435.01|53.71|254.61|488.72|3.75|0.00|190.24|53.71|57.46|243.95|247.70|-200.90
2451945|25492|2451949|819|6395|16853|1391|2089|2505|101805|983|4681|1|1|2|1|25|5|22|71.63|113.89|69.47|977.24|1528.34|1575.86|2505.58|137.55|0.00|1077.34|1528.34|1665.89|2605.68|2743.23|-47.52
2451945|25492|2452031|313|6395|16853|1391|2089|2505|101805|983|4681|1|1|11|1|22|5|51|43.92|94.86|52.17|2177.19|2660.67|2239.92|4837.86|102.17|106.42|1209.21|2554.25|2656.42|3763.46|3865.63|314.33
2451945|25492|2451998|67|6395|16853|1391|2089|2505|101805|983|4681|3|3|20|1|9|5|50|15.41|17.41|6.26|557.50|313.00|770.50|870.50|9.20|159.63|330.50|153.37|162.57|483.87|493.07|-617.13
2451945|25492|2451983|823|6395|16853|1391|2089|2505|101805|983|4681|1|1|6|1|15|5|65|34.29|75.43|18.10|3726.45|1176.50|2228.85|4902.95|70.59|0.00|1176.50|1176.50|1247.09|2353.00|2423.59|-1052.35
2451945|25492|2451980|1063|6395|16853|1391|2089|2505|101805|983|4681|5|1|3|1|9|5|37|35.86|89.29|0.00|3303.73|0.00|1326.82|3303.73|0.00|0.00|1090.02|0.00|0.00|1090.02|1090.02|-1326.82
2451945|25492|2452013|289|6395|16853|1391|2089|2505|101805|983|4681|3|3|7|1|18|5|45|86.45|207.48|60.16|6629.40|2707.20|3890.25|9336.60|108.28|0.00|2800.80|2707.20|2815.48|5508.00|5616.28|-1183.05
2451945|25492|2452026|677|6395|16853|1391|2089|2505|101805|983|4681|1|1|2|1|22|5|69|63.61|129.12|16.78|7751.46|1157.82|4389.09|8909.28|11.57|0.00|3474.15|1157.82|1169.39|4631.97|4643.54|-3231.27
2451534|69300|2451625|331|9701|10329|1164|1472|3718|178455|6843|951|4|2|6|1|12|6|20|26.03|64.55|47.12|348.60|942.40|520.60|1291.00|65.96|0.00|206.40|942.40|1008.36|1148.80|1214.76|421.80
2451534|69300|2451646|607|9701|10329|1164|1472|3718|178455|6843|951|2|2|17|1|12|6|93|93.65|163.88|126.18|3506.10|11734.74|8709.45|15240.84|221.78|9270.44|6857.82|2464.30|2686.08|9322.12|9543.90|-6245.15
2451534|69300|2451537|115|9701|10329|1164|1472|3718|178455|6843|951|1|1|11|1|7|6|60|56.92|134.33|104.77|1773.60|6286.20|3415.20|8059.80|565.75|0.00|3384.60|6286.20|6851.95|9670.80|10236.55|2871.00
2451534|69300|2451566|1573|9701|10329|1164|1472|3718|178455|6843|951|1|2|6|1|16|6|57|69.75|192.51|102.03|5157.36|5815.71|3975.75|10973.07|174.47|0.00|2633.40|5815.71|5990.18|8449.11|8623.58|1839.96
2451534|69300|2451549|820|9701|10329|1164|1472|3718|178455|6843|951|1|2|20|1|12|6|50|42.11|58.95|46.57|619.00|2328.50|2105.50|2947.50|162.99|0.00|58.50|2328.50|2491.49|2387.00|2549.99|223.00
2451534|69300|2451600|181|9701|10329|1164|1472|3718|178455|6843|951|4|1|1|1|20|6|89|70.02|77.72|55.18|2006.06|4911.02|6231.78|6917.08|147.33|0.00|2766.12|4911.02|5058.35|7677.14|7824.47|-1320.76
2451534|69300|2451545|986|9701|10329|1164|1472|3718|178455|6843|951|2|1|19|1|10|6|69|21.00|24.36|13.64|739.68|941.16|1449.00|1680.84|9.41|0.00|487.14|941.16|950.57|1428.30|1437.71|-507.84
2451534|69300|2451543|628|9701|10329|1164|1472|3718|178455|6843|951|4|2|16|1|4|6|26|26.29|28.65|18.33|268.32|476.58|683.54|744.90|33.36|0.00|186.16|476.58|509.94|662.74|696.10|-206.96
2451178|76807|2451182|1441|8271|8586|3908|2303|6091|97460|782|1777|2|2|9|1|2|7|94|66.79|165.63|66.25|9341.72|6227.50|6278.26|15569.22|560.47|0.00|2491.00|6227.50|6787.97|8718.50|9278.97|-50.76
2451178|76807|2451251|238|8271|8586|3908|2303|6091|97460|782|1777|4|1|14|1|13|7|37|16.03|20.67|0.62|741.85|22.94|593.11|764.79|0.00|0.00|367.04|22.94|22.94|389.98|389.98|-570.17
2451178|76807|2451277|656|8271|8586|3908|2303|6091|97460|782|1777|4|2|10|1|5|7|51|10.48|30.18|23.84|323.34|1215.84|534.48|1539.18|23.58|36.47|122.91|1179.37|1202.95|1302.28|1325.86|644.89
2451178|76807|2451279|1748|8271|8586|3908|2303|6091|97460|782|1777|2|2|8|1|20|7|45|67.42|113.26|41.90|3211.20|1885.50|3033.90|5096.70|56.56|0.00|2497.05|1885.50|1942.06|4382.55|4439.11|-1148.40
2451178|76807|2451293|25|8271|8586|3908|2303|6091|97460|782|1777|4|2|6|1|10|7|3|47.96|84.88|1.69|249.57|5.07|143.88|254.64|0.20|0.00|30.54|5.07|5.27|35.61|35.81|-138.81
2451178|76807|2451298|1327|8271|8586|3908|2303|6091|97460|782|1777|1|2|2|1|6|7|71|68.25|152.19|4.56|10481.73|323.76|4845.75|10805.49|29.13|0.00|648.23|323.76|352.89|971.99|1001.12|-4521.99
2451178|76807|2451230|1658|8271|8586|3908|2303|6091|97460|782|1777|4|1|7|1|24|7|57|25.26|42.18|2.53|2260.05|144.21|1439.82|2404.26|8.65|0.00|624.72|144.21|152.86|768.93|777.58|-1295.61
2451178|76807|2451210|556|8271|8586|3908|2303|6091|97460|782|1777|2|1|16|1|20|7|66|66.72|166.80|90.07|5064.18|5944.62|4403.52|11008.80|416.12|0.00|1651.32|5944.62|6360.74|7595.94|8012.06|1541.10
2452190|51596|2452250|1615|7108|35842|5456|2830|3825|120411|5705|3479|1|1|9|1|16|8|60|30.82|56.70|29.48|1633.20|1768.80|1849.20|3402.00|0.00|1715.73|475.80|53.07|53.07|528.87|528.87|-1796.13
2452190|51596|2452247|727|7108|35842|5456|2830|3825|120411|5705|3479|3|1|7|1|22|8|13|19.64|34.17|17.76|213.33|230.88|255.32|444.21|6.92|0.00|75.40|230.88|237.80|306.28|313.20|-24.44
2452190|51596|2452243|1201|7108|35842|5456|2830|3825|120411|5705|3479|3|3|7|1|19|8|63|9.36|19.74|16.38|211.68|1031.94|589.68|1243.62|35.39|526.28|522.27|505.66|541.05|1027.93|1063.32|-84.02
2452190|51596|2452289|559|7108|35842|5456|2830|3825|120411|5705|3479|1|3|1|1|17|8|12|56.04|96.38|89.63|81.00|1075.56|672.48|1156.56|96.80|0.00|69.36|1075.56|1172.36|1144.92|1241.72|403.08
2452190|51596|2452300|1409|7108|35842|5456|2830|3825|120411|5705|3479|5|1|10|1|18|8|73|36.58|41.70|35.44|456.98|2587.12|2670.34|3044.10|77.61|0.00|1247.57|2587.12|2664.73|3834.69|3912.30|-83.22
2452190|51596|2452266|145|7108|35842|5456|2830|3825|120411|5705|3479|5|3|10|1|7|8|91|48.63|65.16|3.25|5633.81|295.75|4425.33|5929.56|2.95|0.00|2489.76|295.75|298.70|2785.51|2788.46|-4129.58
2452190|51596|2452307|315|7108|35842|5456|2830|3825|120411|5705|3479|3|1|8|1|12|8|51|42.52|121.60|38.91|4217.19|1984.41|2168.52|6201.60|0.00|754.07|557.94|1230.34|1230.34|1788.28|1788.28|-938.18
2452190|51596|2452295|881|7108|35842|5456|2830|3825|120411|5705|3479|3|1|1|1|7|8|1|99.76|206.50|0.00|206.50|0.00|99.76|206.50|0.00|0.00|33.04|0.00|0.00|33.04|33.04|-99.76
2452190|51596|2452239|1705|7108|35842|5456|2830|3825|120411|5705|3479|5|3|5|1|20|8|83|39.67|47.60|34.74|1067.38|2883.42|3292.61|3950.80|259.50|0.00|1026.71|2883.42|3142.92|3910.13|4169.63|-409.19
2452190|51596|2452232|1569|7108|35842|5456|2830|3825|120411|5705|3479|1|3|5|1|1|8|63|97.02|121.27|103.07|1146.60|6493.41|6112.26|7640.01|12.98|6233.67|2597.49|259.74|272.72|2857.23|2870.21|-5852.52
2452190|51596|2452260|837|7108|35842|5456|2830|3825|120411|5705|3479|3|3|2|1|24|8|11|16.62|23.76|2.61|232.65|28.71|182.82|261.36|2.29|0.00|73.15|28.71|31.00|101.86|104.15|-154.11
2452190|51596|2452283|689|7108|35842|5456|2830|3825|120411|5705|3479|5|3|13|1|3|8|37|39.38|108.68|106.50|80.66|3940.50|1457.06|4021.16|197.02|0.00|924.63|3940.50|4137.52|4865.13|5062.15|2483.44
2452190|51596|2452299|707|7108|35842|5456|2830|3825|120411|5705|3479|3|3|8|1|20|8|87|58.72|115.67|2.31|9862.32|200.97|5108.64|10063.29|1.08|188.91|4024.62|12.06|13.14|4036.68|4037.76|-5096.58
2452190|51596|2452214|1187|7108|35842|5456|2830|3825|120411|5705|3479|1|3|17|1|20|8|35|84.35|156.04|37.44|4151.00|1310.40|2952.25|5461.40|65.52|0.00|218.40|1310.40|1375.92|1528.80|1594.32|-1641.85
2452190|51596|2452199|413|7108|35842|5456|2830|3825|120411|5705|3479|5|1|18|1|5|8|53|78.31|198.12|108.96|4725.48|5774.88|4150.43|10500.36|0.00|0.00|4199.72|5774.88|5774.88|9974.60|9974.60|1624.45
2450900|56256|2451013|1006|2676|86740|4197|3581|1248|162902|39|4023|4|1|12|1|23|9|40|14.18|38.14|3.43|1388.40|137.20|567.20|1525.60|6.86|0.00|45.60|137.20|144.06|182.80|189.66|-430.00
2450900|56256|2450983|1336|2676|86740|4197|3581|1248|162902|39|4023|1|1|14|1|8|9|28|26.19|70.71|5.65|1821.68|158.20|733.32|1979.88|12.65|0.00|197.96|158.20|170.85|356.16|368.81|-575.12
2450900|56256|2450965|992|2676|86740|4197|3581|1248|162902|39|4023|2|1|4|1|24|9|25|28.00|75.32|41.42|847.50|1035.50|700.00|1883.00|2.48|952.66|621.25|82.84|85.32|704.09|706.57|-617.16
2450900|56256|2450933|1489|2676|86740|4197|3581|1248|162902|39|4023|1|2|2|1|19|9|36|93.20|236.72|165.70|2556.72|5965.20|3355.20|8521.92|536.86|0.00|2556.36|5965.20|6502.06|8521.56|9058.42|2610.00
2450900|56256|2450903|994|2676|86740|4197|3581|1248|162902|39|4023|2|1|10|1|21|9|47|92.35|229.02|114.51|5381.97|5381.97|4340.45|10763.94|53.81|0.00|4843.35|5381.97|5435.78|10225.32|10279.13|1041.52
2450900|56256|2451001|812|2676|86740|4197|3581|1248|162902|39|4023|1|1|4|1|10|9|44|52.52|126.04|122.25|166.76|5379.00|2310.88|5545.76|430.32|0.00|1219.68|5379.00|5809.32|6598.68|7029.00|3068.12
2450900|56256|2450962|20|2676|86740|4197|3581|1248|162902|39|4023|4|2|15|1|27|9|87|4.47|4.82|3.85|84.39|334.95|388.89|419.34|30.14|0.00|108.75|334.95|365.09|443.70|473.84|-53.94
2450900|56256|2450932|1786|2676|86740|4197|3581|1248|162902|39|4023|4|1|3|1|27|9|9|70.18|106.67|44.80|556.83|403.20|631.62|960.03|0.00|249.98|470.34|153.22|153.22|623.56|623.56|-478.40
2450900|56256|2450923|1384|2676|86740|4197|3581|1248|162902|39|4023|1|2|20|1|5|9|13|49.14|63.88|31.94|415.22|415.22|638.82|830.44|6.56|87.19|215.80|328.03|334.59|543.83|550.39|-310.79
2450900|56256|2451009|184|2676|86740|4197|3581|1248|162902|39|4023|4|1|6|1|10|9|52|51.52|79.85|59.08|1080.04|3072.16|2679.04|4152.20|0.00|0.00|2034.24|3072.16|3072.16|5106.40|5106.40|393.12
2450900|56256|2450990|73|2676|86740|4197|3581|1248|162902|39|4023|1|2|19|1|24|9|1|64.29|145.93|135.71|10.22|135.71|64.29|145.93|0.00|0.00|72.96|135.71|135.71|208.67|208.67|71.42
2450900|56256|2450965|1564|2676|86740|4197|3581|1248|162902|39|4023|2|2|20|1|5|9|44|94.24|201.67|12.10|8341.08|532.40|4146.56|8873.48|21.29|0.00|4170.32|532.40|553.69|4702.72|4724.01|-3614.16
2450900|56256|2450939|1784|2676|86740|4197|3581|1248|162902|39|4023|2|2|7|1|16|9|25|12.48|33.19|7.63|639.00|190.75|312.00|829.75|1.90|0.00|107.75|190.75|192.65|298.50|300.40|-121.25
2450900|56256|2450949|298|2676|86740|4197|3581|1248|162902|39|4023|2|2|8|1|12|9|29|80.18|113.05|79.13|983.68|2294.77|2325.22|3278.45|206.52|0.00|1081.70|2294.77|2501.29|3376.47|3582.99|-30.45
2450900|56256|2450956|1274|2676|86740|4197|3581|1248|162902|39|4023|4|2|17|1|5|9|53|74.09|105.94|95.34|561.80|5053.02|3926.77|5614.82|40.93|4598.24|1852.88|454.78|495.71|2307.66|2348.59|-3471.99
2451821|29187|2451865|1571|1204|154314|31|1268|8174|67662|6132|2569|2|1|4|1|14|10|31|43.13|108.68|21.73|2695.45|673.63|1337.03|3369.08|40.41|0.00|0.00|673.63|714.04|673.63|714.04|-663.40
2451821|29187|2451907|848|1204|154314|31|1268|8174|67662|6132|2569|2|1|18|1|28|10|25|16.96|42.23|42.23|0.00|1055.75|424.00|1055.75|63.34|0.00|221.50|1055.75|1119.09|1277.25|1340.59|631.75
2451821|29187|2451881|776|1204|154314|31|1268|8174|67662|6132|2569|1|2|4|1|8|10|59|41.12|76.07|59.33|987.66|3500.47|2426.08|4488.13|105.01|0.00|1660.26|3500.47|3605.48|5160.73|5265.74|1074.39
2451821|29187|2451923|1502|1204|154314|31|1268|8174|67662|6132|2569|2|1|8|1|19|10|21|55.01|88.01|56.32|665.49|1182.72|1155.21|1848.21|70.96|0.00|332.64|1182.72|1253.68|1515.36|1586.32|27.51
2451821|29187|2451849|1412|1204|154314|31|1268|8174|67662|6132|2569|5|1|16|1|23|10|62|45.51|57.79|15.60|2615.78|967.20|2821.62|3582.98|48.36|0.00|1791.18|967.20|1015.56|2758.38|2806.74|-1854.42
