cd_demo_sk|cd_gender|cd_marital_status|cd_education_status|cd_purchase_estimate|cd_credit_rating|cd_dep_count|cd_dep_employed_count|cd_dep_college_count
86|F|D|Secondary|1000|Good|0|0|0
87|M|W|Secondary|1000|Good|0|0|0
88|F|W|Secondary|1000|Good|0|0|0
89|M|U|Secondary|1000|Good|0|0|0
90|F|U|Secondary|1000|Good|0|0|0
91|M|M|College|1000|Good|0|0|0
92|F|M|College|1000|Good|0|0|0
93|M|S|College|1000|Good|0|0|0
94|F|S|College|1000|Good|0|0|0
95|M|D|College|1000|Good|0|0|0
96|F|D|College|1000|Good|0|0|0
97|M|W|College|1000|Good|0|0|0
98|F|W|College|1000|Good|0|0|0
99|M|U|College|1000|Good|0|0|0
100|F|U|College|1000|Good|0|0|0
101|M|M|2 yr Degree|1000|Good|0|0|0
102|F|M|2 yr Degree|1000|Good|0|0|0
103|M|S|2 yr Degree|1000|Good|0|0|0
104|F|S|2 yr Degree|1000|Good|0|0|0
105|M|D|2 yr Degree|1000|Good|0|0|0
106|F|D|2 yr Degree|1000|Good|0|0|0
107|M|W|2 yr Degree|1000|Good|0|0|0
108|F|W|2 yr Degree|1000|Good|0|0|0
109|M|U|2 yr Degree|1000|Good|0|0|0
110|F|U|2 yr Degree|1000|Good|0|0|0
111|M|M|4 yr Degree|1000|Good|0|0|0
112|F|M|4 yr Degree|1000|Good|0|0|0
113|M|S|4 yr Degree|1000|Good|0|0|0
114|F|S|4 yr Degree|1000|Good|0|0|0
115|M|D|4 yr Degree|1000|Good|0|0|0
116|F|D|4 yr Degree|1000|Good|0|0|0
117|M|W|4 yr Degree|1000|Good|0|0|0
118|F|W|4 yr Degree|1000|Good|0|0|0
119|M|U|4 yr Degree|1000|Good|0|0|0
120|F|U|4 yr Degree|1000|Good|0|0|0
121|M|M|Advanced Degree|1000|Good|0|0|0
122|F|M|Advanced Degree|1000|Good|0|0|0
123|M|S|Advanced Degree|1000|Good|0|0|0
124|F|S|Advanced Degree|1000|Good|0|0|0
125|M|D|Advanced Degree|1000|Good|0|0|0
126|F|D|Advanced Degree|1000|Good|0|0|0
127|M|W|Advanced Degree|1000|Good|0|0|0
128|F|W|Advanced Degree|1000|Good|0|0|0
129|M|U|Advanced Degree|1000|Good|0|0|0
130|F|U|Advanced Degree|1000|Good|0|0|0
131|M|M|Unknown|1000|Good|0|0|0
132|F|M|Unknown|1000|Good|0|0|0
133|M|S|Unknown|1000|Good|0|0|0
134|F|S|Unknown|1000|Good|0|0|0
135|M|D|Unknown|1000|Good|0|0|0
136|F|D|Unknown|1000|Good|0|0|0
137|M|W|Unknown|1000|Good|0|0|0
138|F|W|Unknown|1000|Good|0|0|0
139|M|U|Unknown|1000|Good|0|0|0
140|F|U|Unknown|1000|Good|0|0|0
141|M|M|Primary|1500|Good|0|0|0
142|F|M|Primary|1500|Good|0|0|0
143|M|S|Primary|1500|Good|0|0|0
144|F|S|Primary|1500|Good|0|0|0
145|M|D|Primary|1500|Good|0|0|0
146|F|D|Primary|1500|Good|0|0|0
147|M|W|Primary|1500|Good|0|0|0
148|F|W|Primary|1500|Good|0|0|0
149|M|U|Primary|1500|Good|0|0|0
150|F|U|Primary|1500|Good|0|0|0
151|M|M|Secondary|1500|Good|0|0|0
152|F|M|Secondary|1500|Good|0|0|0
153|M|S|Secondary|1500|Good|0|0|0
154|F|S|Secondary|1500|Good|0|0|0
155|M|D|Secondary|1500|Good|0|0|0
156|F|D|Secondary|1500|Good|0|0|0
157|M|W|Secondary|1500|Good|0|0|0
158|F|W|Secondary|1500|Good|0|0|0
159|M|U|Secondary|1500|Good|0|0|0
160|F|U|Secondary|1500|Good|0|0|0
161|M|M|College|1500|Good|0|0|0
162|F|M|College|1500|Good|0|0|0
163|M|S|College|1500|Good|0|0|0
164|F|S|College|1500|Good|0|0|0
165|M|D|College|1500|Good|0|0|0
166|F|D|College|1500|Good|0|0|0
167|M|W|College|1500|Good|0|0|0
168|F|W|College|1500|Good|0|0|0
169|M|U|College|1500|Good|0|0|0
170|F|U|College|1500|Good|0|0|0
171|M|M|2 yr Degree|1500|Good|0|0|0
172|F|M|2 yr Degree|1500|Good|0|0|0
173|M|S|2 yr Degree|1500|Good|0|0|0
174|F|S|2 yr Degree|1500|Good|0|0|0
175|M|D|2 yr Degree|1500|Good|0|0|0
176|F|D|2 yr Degree|1500|Good|0|0|0
177|M|W|2 yr Degree|1500|Good|0|0|0
178|F|W|2 yr Degree|1500|Good|0|0|0
179|M|U|2 yr Degree|1500|Good|0|0|0
180|F|U|2 yr Degree|1500|Good|0|0|0
181|M|M|4 yr Degree|1500|Good|0|0|0
182|F|M|4 yr Degree|1500|Good|0|0|0
183|M|S|4 yr Degree|1500|Good|0|0|0
184|F|S|4 yr Degree|1500|Good|0|0|0
185|M|D|4 yr Degree|1500|Good|0|0|0
186|F|D|4 yr Degree|1500|Good|0|0|0
187|M|W|4 yr Degree|1500|Good|0|0|0
188|F|W|4 yr Degree|1500|Good|0|0|0
189|M|U|4 yr Degree|1500|Good|0|0|0
190|F|U|4 yr Degree|1500|Good|0|0|0
191|M|M|Advanced Degree|1500|Good|0|0|0
192|F|M|Advanced Degree|1500|Good|0|0|0
193|M|S|Advanced Degree|1500|Good|0|0|0
194|F|S|Advanced Degree|1500|Good|0|0|0
195|M|D|Advanced Degree|1500|Good|0|0|0
196|F|D|Advanced Degree|1500|Good|0|0|0
197|M|W|Advanced Degree|1500|Good|0|0|0
198|F|W|Advanced Degree|1500|Good|0|0|0
199|M|U|Advanced Degree|1500|Good|0|0|0
200|F|U|Advanced Degree|1500|Good|0|0|0
201|M|M|Unknown|1500|Good|0|0|0
202|F|M|Unknown|1500|Good|0|0|0
203|M|S|Unknown|1500|Good|0|0|0
204|F|S|Unknown|1500|Good|0|0|0
205|M|D|Unknown|1500|Good|0|0|0
206|F|D|Unknown|1500|Good|0|0|0
207|M|W|Unknown|1500|Good|0|0|0
208|F|W|Unknown|1500|Good|0|0|0
209|M|U|Unknown|1500|Good|0|0|0
210|F|U|Unknown|1500|Good|0|0|0
211|M|M|Primary|2000|Good|0|0|0
212|F|M|Primary|2000|Good|0|0|0
213|M|S|Primary|2000|Good|0|0|0
214|F|S|Primary|2000|Good|0|0|0
215|M|D|Primary|2000|Good|0|0|0
216|F|D|Primary|2000|Good|0|0|0
217|M|W|Primary|2000|Good|0|0|0
218|F|W|Primary|2000|Good|0|0|0
219|M|U|Primary|2000|Good|0|0|0
220|F|U|Primary|2000|Good|0|0|0
221|M|M|Secondary|2000|Good|0|0|0
222|F|M|Secondary|2000|Good|0|0|0
223|M|S|Secondary|2000|Good|0|0|0
224|F|S|Secondary|2000|Good|0|0|0
225|M|D|Secondary|2000|Good|0|0|0
226|F|D|Secondary|2000|Good|0|0|0
227|M|W|Secondary|2000|Good|0|0|0
228|F|W|Secondary|2000|Good|0|0|0
229|M|U|Secondary|2000|Good|0|0|0
230|F|U|Secondary|2000|Good|0|0|0
231|M|M|College|2000|Good|0|0|0
232|F|M|College|2000|Good|0|0|0
233|M|S|College|2000|Good|0|0|0
234|F|S|College|2000|Good|0|0|0
235|M|D|College|2000|Good|0|0|0
236|F|D|College|2000|Good|0|0|0
237|M|W|College|2000|Good|0|0|0
238|F|W|College|2000|Good|0|0|0
239|M|U|College|2000|Good|0|0|0
240|F|U|College|2000|Good|0|0|0
241|M|M|2 yr Degree|2000|Good|0|0|0
242|F|M|2 yr Degree|2000|Good|0|0|0
243|M|S|2 yr Degree|2000|Good|0|0|0
244|F|S|2 yr Degree|2000|Good|0|0|0
245|M|D|2 yr Degree|2000|Good|0|0|0
246|F|D|2 yr Degree|2000|Good|0|0|0
247|M|W|2 yr Degree|2000|Good|0|0|0
248|F|W|2 yr Degree|2000|Good|0|0|0
249|M|U|2 yr Degree|2000|Good|0|0|0
250|F|U|2 yr Degree|2000|Good|0|0|0
251|M|M|4 yr Degree|2000|Good|0|0|0
252|F|M|4 yr Degree|2000|Good|0|0|0
253|M|S|4 yr Degree|2000|Good|0|0|0
254|F|S|4 yr Degree|2000|Good|0|0|0
255|M|D|4 yr Degree|2000|Good|0|0|0
256|F|D|4 yr Degree|2000|Good|0|0|0
257|M|W|4 yr Degree|2000|Good|0|0|0
258|F|W|4 yr Degree|2000|Good|0|0|0
259|M|U|4 yr Degree|2000|Good|0|0|0
260|F|U|4 yr Degree|2000|Good|0|0|0
261|M|M|Advanced Degree|2000|Good|0|0|0
262|F|M|Advanced Degree|2000|Good|0|0|0
263|M|S|Advanced Degree|2000|Good|0|0|0
264|F|S|Advanced Degree|2000|Good|0|0|0
265|M|D|Advanced Degree|2000|Good|0|0|0
266|F|D|Advanced Degree|2000|Good|0|0|0
267|M|W|Advanced Degree|2000|Good|0|0|0
268|F|W|Advanced Degree|2000|Good|0|0|0
269|M|U|Advanced Degree|2000|Good|0|0|0
270|F|U|Advanced Degree|2000|Good|0|0|0
271|M|M|Unknown|2000|Good|0|0|0
272|F|M|Unknown|2000|Good|0|0|0
273|M|S|Unknown|2000|Good|0|0|0
274|F|S|Unknown|2000|Good|0|0|0
275|M|D|Unknown|2000|Good|0|0|0
276|F|D|Unknown|2000|Good|0|0|0
277|M|W|Unknown|2000|Good|0|0|0
278|F|W|Unknown|2000|Good|0|0|0
279|M|U|Unknown|2000|Good|0|0|0
280|F|U|Unknown|2000|Good|0|0|0
281|M|M|Primary|2500|Good|0|0|0
282|F|M|Primary|2500|Good|0|0|0
283|M|S|Primary|2500|Good|0|0|0
284|F|S|Primary|2500|Good|0|0|0
285|M|D|Primary|2500|Good|0|0|0
286|F|D|Primary|2500|Good|0|0|0
287|M|W|Primary|2500|Good|0|0|0
288|F|W|Primary|2500|Good|0|0|0
289|M|U|Primary|2500|Good|0|0|0
290|F|U|Primary|2500|Good|0|0|0
291|M|M|Secondary|2500|Good|0|0|0
292|F|M|Secondary|2500|Good|0|0|0
293|M|S|Secondary|2500|Good|0|0|0
294|F|S|Secondary|2500|Good|0|0|0
295|M|D|Secondary|2500|Good|0|0|0
296|F|D|Secondary|2500|Good|0|0|0
297|M|W|Secondary|2500|Good|0|0|0
298|F|W|Secondary|2500|Good|0|0|0
299|M|U|Secondary|2500|Good|0|0|0
300|F|U|Secondary|2500|Good|0|0|0
301|M|M|College|2500|Good|0|0|0
302|F|M|College|2500|Good|0|0|0
303|M|S|College|2500|Good|0|0|0
304|F|S|College|2500|Good|0|0|0
305|M|D|College|2500|Good|0|0|0
306|F|D|College|2500|Good|0|0|0
307|M|W|College|2500|Good|0|0|0
308|F|W|College|2500|Good|0|0|0
309|M|U|College|2500|Good|0|0|0
310|F|U|College|2500|Good|0|0|0
311|M|M|2 yr Degree|2500|Good|0|0|0
312|F|M|2 yr Degree|2500|Good|0|0|0
313|M|S|2 yr Degree|2500|Good|0|0|0
314|F|S|2 yr Degree|2500|Good|0|0|0
315|M|D|2 yr Degree|2500|Good|0|0|0
316|F|D|2 yr Degree|2500|Good|0|0|0
317|M|W|2 yr Degree|2500|Good|0|0|0
318|F|W|2 yr Degree|2500|Good|0|0|0
319|M|U|2 yr Degree|2500|Good|0|0|0
320|F|U|2 yr Degree|2500|Good|0|0|0
321|M|M|4 yr Degree|2500|Good|0|0|0
322|F|M|4 yr Degree|2500|Good|0|0|0
323|M|S|4 yr Degree|2500|Good|0|0|0
324|F|S|4 yr Degree|2500|Good|0|0|0
325|M|D|4 yr Degree|2500|Good|0|0|0
326|F|D|4 yr Degree|2500|Good|0|0|0
327|M|W|4 yr Degree|2500|Good|0|0|0
328|F|W|4 yr Degree|2500|Good|0|0|0
329|M|U|4 yr Degree|2500|Good|0|0|0
330|F|U|4 yr Degree|2500|Good|0|0|0
331|M|M|Advanced Degree|2500|Good|0|0|0
332|F|M|Advanced Degree|2500|Good|0|0|0
333|M|S|Advanced Degree|2500|Good|0|0|0
334|F|S|Advanced Degree|2500|Good|0|0|0
335|M|D|Advanced Degree|2500|Good|0|0|0
336|F|D|Advanced Degree|2500|Good|0|0|0
337|M|W|Advanced Degree|2500|Good|0|0|0
338|F|W|Advanced Degree|2500|Good|0|0|0
339|M|U|Advanced Degree|2500|Good|0|0|0
340|F|U|Advanced Degree|2500|Good|0|0|0
341|M|M|Unknown|2500|Good|0|0|0
342|F|M|Unknown|2500|Good|0|0|0
343|M|S|Unknown|2500|Good|0|0|0
344|F|S|Unknown|2500|Good|0|0|0
345|M|D|Unknown|2500|Good|0|0|0
346|F|D|Unknown|2500|Good|0|0|0
347|M|W|Unknown|2500|Good|0|0|0
348|F|W|Unknown|2500|Good|0|0|0
349|M|U|Unknown|2500|Good|0|0|0
350|F|U|Unknown|2500|Good|0|0|0
351|M|M|Primary|3000|Good|0|0|0
352|F|M|Primary|3000|Good|0|0|0
353|M|S|Primary|3000|Good|0|0|0
354|F|S|Primary|3000|Good|0|0|0
355|M|D|Primary|3000|Good|0|0|0
356|F|D|Primary|3000|Good|0|0|0
357|M|W|Primary|3000|Good|0|0|0
358|F|W|Primary|3000|Good|0|0|0
359|M|U|Primary|3000|Good|0|0|0
360|F|U|Primary|3000|Good|0|0|0
361|M|M|Secondary|3000|Good|0|0|0
362|F|M|Secondary|3000|Good|0|0|0
363|M|S|Secondary|3000|Good|0|0|0
364|F|S|Secondary|3000|Good|0|0|0
365|M|D|Secondary|3000|Good|0|0|0
366|F|D|Secondary|3000|Good|0|0|0
367|M|W|Secondary|3000|Good|0|0|0
368|F|W|Secondary|3000|Good|0|0|0
369|M|U|Secondary|3000|Good|0|0|0
370|F|U|Secondary|3000|Good|0|0|0
371|M|M|College|3000|Good|0|0|0
372|F|M|College|3000|Good|0|0|0
373|M|S|College|3000|Good|0|0|0
374|F|S|College|3000|Good|0|0|0
375|M|D|College|3000|Good|0|0|0
376|F|D|College|3000|Good|0|0|0
377|M|W|College|3000|Good|0|0|0
378|F|W|College|3000|Good|0|0|0
379|M|U|College|3000|Good|0|0|0
380|F|U|College|3000|Good|0|0|0
381|M|M|2 yr Degree|3000|Good|0|0|0
382|F|M|2 yr Degree|3000|Good|0|0|0
383|M|S|2 yr Degree|3000|Good|0|0|0
384|F|S|2 yr Degree|3000|Good|0|0|0
385|M|D|2 yr Degree|3000|Good|0|0|0
386|F|D|2 yr Degree|3000|Good|0|0|0
387|M|W|2 yr Degree|3000|Good|0|0|0
388|F|W|2 yr Degree|3000|Good|0|0|0
389|M|U|2 yr Degree|3000|Good|0|0|0
390|F|U|2 yr Degree|3000|Good|0|0|0
391|M|M|4 yr Degree|3000|Good|0|0|0
392|F|M|4 yr Degree|3000|Good|0|0|0
393|M|S|4 yr Degree|3000|Good|0|0|0
394|F|S|4 yr Degree|3000|Good|0|0|0
395|M|D|4 yr Degree|3000|Good|0|0|0
396|F|D|4 yr Degree|3000|Good|0|0|0
397|M|W|4 yr Degree|3000|Good|0|0|0
398|F|W|4 yr Degree|3000|Good|0|0|0
399|M|U|4 yr Degree|3000|Good|0|0|0
400|F|U|4 yr Degree|3000|Good|0|0|0
401|M|M|Advanced Degree|3000|Good|0|0|0
402|F|M|Advanced Degree|3000|Good|0|0|0
403|M|S|Advanced Degree|3000|Good|0|0|0
404|F|S|Advanced Degree|3000|Good|0|0|0
405|M|D|Advanced Degree|3000|Good|0|0|0
406|F|D|Advanced Degree|3000|Good|0|0|0
407|M|W|Advanced Degree|3000|Good|0|0|0
408|F|W|Advanced Degree|3000|Good|0|0|0
409|M|U|Advanced Degree|3000|Good|0|0|0
410|F|U|Advanced Degree|3000|Good|0|0|0
411|M|M|Unknown|3000|Good|0|0|0
412|F|M|Unknown|3000|Good|0|0|0
413|M|S|Unknown|3000|Good|0|0|0
414|F|S|Unknown|3000|Good|0|0|0
415|M|D|Unknown|3000|Good|0|0|0
416|F|D|Unknown|3000|Good|0|0|0
417|M|W|Unknown|3000|Good|0|0|0
418|F|W|Unknown|3000|Good|0|0|0
419|M|U|Unknown|3000|Good|0|0|0
420|F|U|Unknown|3000|Good|0|0|0
421|M|M|Primary|3500|Good|0|0|0
422|F|M|Primary|3500|Good|0|0|0
423|M|S|Primary|3500|Good|0|0|0
424|F|S|Primary|3500|Good|0|0|0
425|M|D|Primary|3500|Good|0|0|0
426|F|D|Primary|3500|Good|0|0|0
427|M|W|Primary|3500|Good|0|0|0
428|F|W|Primary|3500|Good|0|0|0
429|M|U|Primary|3500|Good|0|0|0
430|F|U|Primary|3500|Good|0|0|0
431|M|M|Secondary|3500|Good|0|0|0
432|F|M|Secondary|3500|Good|0|0|0
433|M|S|Secondary|3500|Good|0|0|0
434|F|S|Secondary|3500|Good|0|0|0
435|M|D|Secondary|3500|Good|0|0|0
436|F|D|Secondary|3500|Good|0|0|0
437|M|W|Secondary|3500|Good|0|0|0
438|F|W|Secondary|3500|Good|0|0|0
439|M|U|Secondary|3500|Good|0|0|0
440|F|U|Secondary|3500|Good|0|0|0
441|M|M|College|3500|Good|0|0|0
442|F|M|College|3500|Good|0|0|0
443|M|S|College|3500|Good|0|0|0
444|F|S|College|3500|Good|0|0|0
445|M|D|College|3500|Good|0|0|0
446|F|D|College|3500|Good|0|0|0
447|M|W|College|3500|Good|0|0|0
448|F|W|College|3500|Good|0|0|0
449|M|U|College|3500|Good|0|0|0
450|F|U|College|3500|Good|0|0|0
451|M|M|2 yr Degree|3500|Good|0|0|0
452|F|M|2 yr Degree|3500|Good|0|0|0
453|M|S|2 yr Degree|3500|Good|0|0|0
454|F|S|2 yr Degree|3500|Good|0|0|0
455|M|D|2 yr Degree|3500|Good|0|0|0
456|F|D|2 yr Degree|3500|Good|0|0|0
457|M|W|2 yr Degree|3500|Good|0|0|0
458|F|W|2 yr Degree|3500|Good|0|0|0
459|M|U|2 yr Degree|3500|Good|0|0|0
460|F|U|2 yr Degree|3500|Good|0|0|0
461|M|M|4 yr Degree|3500|Good|0|0|0
462|F|M|4 yr Degree|3500|Good|0|0|0
463|M|S|4 yr Degree|3500|Good|0|0|0
464|F|S|4 yr Degree|3500|Good|0|0|0
465|M|D|4 yr Degree|3500|Good|0|0|0
466|F|D|4 yr Degree|3500|Good|0|0|0
467|M|W|4 yr Degree|3500|Good|0|0|0
468|F|W|4 yr Degree|3500|Good|0|0|0
469|M|U|4 yr Degree|3500|Good|0|0|0
470|F|U|4 yr Degree|3500|Good|0|0|0
471|M|M|Advanced Degree|3500|Good|0|0|0
472|F|M|Advanced Degree|3500|Good|0|0|0
473|M|S|Advanced Degree|3500|Good|0|0|0
474|F|S|Advanced Degree|3500|Good|0|0|0
475|M|D|Advanced Degree|3500|Good|0|0|0
476|F|D|Advanced Degree|3500|Good|0|0|0
477|M|W|Advanced Degree|3500|Good|0|0|0
478|F|W|Advanced Degree|3500|Good|0|0|0
479|M|U|Advanced Degree|3500|Good|0|0|0
480|F|U|Advanced Degree|3500|Good|0|0|0
481|M|M|Unknown|3500|Good|0|0|0
482|F|M|Unknown|3500|Good|0|0|0
483|M|S|Unknown|3500|Good|0|0|0
484|F|S|Unknown|3500|Good|0|0|0
485|M|D|Unknown|3500|Good|0|0|0
486|F|D|Unknown|3500|Good|0|0|0
487|M|W|Unknown|3500|Good|0|0|0
488|F|W|Unknown|3500|Good|0|0|0
489|M|U|Unknown|3500|Good|0|0|0
490|F|U|Unknown|3500|Good|0|0|0
491|M|M|Primary|4000|Good|0|0|0
492|F|M|Primary|4000|Good|0|0|0
493|M|S|Primary|4000|Good|0|0|0
494|F|S|Primary|4000|Good|0|0|0
495|M|D|Primary|4000|Good|0|0|0
496|F|D|Primary|4000|Good|0|0|0
497|M|W|Primary|4000|Good|0|0|0
498|F|W|Primary|4000|Good|0|0|0
499|M|U|Primary|4000|Good|0|0|0
500|F|U|Primary|4000|Good|0|0|0
501|M|M|Secondary|4000|Good|0|0|0
502|F|M|Secondary|4000|Good|0|0|0
503|M|S|Secondary|4000|Good|0|0|0
504|F|S|Secondary|4000|Good|0|0|0
505|M|D|Secondary|4000|Good|0|0|0
506|F|D|Secondary|4000|Good|0|0|0
507|M|W|Secondary|4000|Good|0|0|0
508|F|W|Secondary|4000|Good|0|0|0
509|M|U|Secondary|4000|Good|0|0|0
510|F|U|Secondary|4000|Good|0|0|0
511|M|M|College|4000|Good|0|0|0
512|F|M|College|4000|Good|0|0|0
513|M|S|College|4000|Good|0|0|0
514|F|S|College|4000|Good|0|0|0
515|M|D|College|4000|Good|0|0|0
516|F|D|College|4000|Good|0|0|0
517|M|W|College|4000|Good|0|0|0
518|F|W|College|4000|Good|0|0|0
519|M|U|College|4000|Good|0|0|0
520|F|U|College|4000|Good|0|0|0
521|M|M|2 yr Degree|4000|Good|0|0|0
522|F|M|2 yr Degree|4000|Good|0|0|0
523|M|S|2 yr Degree|4000|Good|0|0|0
524|F|S|2 yr Degree|4000|Good|0|0|0
525|M|D|2 yr Degree|4000|Good|0|0|0
526|F|D|2 yr Degree|4000|Good|0|0|0
527|M|W|2 yr Degree|4000|Good|0|0|0
528|F|W|2 yr Degree|4000|Good|0|0|0
529|M|U|2 yr Degree|4000|Good|0|0|0
530|F|U|2 yr Degree|4000|Good|0|0|0
531|M|M|4 yr Degree|4000|Good|0|0|0
532|F|M|4 yr Degree|4000|Good|0|0|0
533|M|S|4 yr Degree|4000|Good|0|0|0
534|F|S|4 yr Degree|4000|Good|0|0|0
535|M|D|4 yr Degree|4000|Good|0|0|0
536|F|D|4 yr Degree|4000|Good|0|0|0
537|M|W|4 yr Degree|4000|Good|0|0|0
538|F|W|4 yr Degree|4000|Good|0|0|0
539|M|U|4 yr Degree|4000|Good|0|0|0
540|F|U|4 yr Degree|4000|Good|0|0|0
541|M|M|Advanced Degree|4000|Good|0|0|0
542|F|M|Advanced Degree|4000|Good|0|0|0
543|M|S|Advanced Degree|4000|Good|0|0|0
544|F|S|Advanced Degree|4000|Good|0|0|0
545|M|D|Advanced Degree|4000|Good|0|0|0
546|F|D|Advanced Degree|4000|Good|0|0|0
547|M|W|Advanced Degree|4000|Good|0|0|0
548|F|W|Advanced Degree|4000|Good|0|0|0
549|M|U|Advanced Degree|4000|Good|0|0|0
550|F|U|Advanced Degree|4000|Good|0|0|0
551|M|M|Unknown|4000|Good|0|0|0
552|F|M|Unknown|4000|Good|0|0|0
553|M|S|Unknown|4000|Good|0|0|0
554|F|S|Unknown|4000|Good|0|0|0
555|M|D|Unknown|4000|Good|0|0|0
556|F|D|Unknown|4000|Good|0|0|0
557|M|W|Unknown|4000|Good|0|0|0
558|F|W|Unknown|4000|Good|0|0|0
559|M|U|Unknown|4000|Good|0|0|0
560|F|U|Unknown|4000|Good|0|0|0
561|M|M|Primary|4500|Good|0|0|0
562|F|M|Primary|4500|Good|0|0|0
563|M|S|Primary|4500|Good|0|0|0
564|F|S|Primary|4500|Good|0|0|0
565|M|D|Primary|4500|Good|0|0|0
566|F|D|Primary|4500|Good|0|0|0
567|M|W|Primary|4500|Good|0|0|0
568|F|W|Primary|4500|Good|0|0|0
569|M|U|Primary|4500|Good|0|0|0
570|F|U|Primary|4500|Good|0|0|0
571|M|M|Secondary|4500|Good|0|0|0
572|F|M|Secondary|4500|Good|0|0|0
573|M|S|Secondary|4500|Good|0|0|0
574|F|S|Secondary|4500|Good|0|0|0
575|M|D|Secondary|4500|Good|0|0|0
576|F|D|Secondary|4500|Good|0|0|0
577|M|W|Secondary|4500|Good|0|0|0
578|F|W|Secondary|4500|Good|0|0|0
579|M|U|Secondary|4500|Good|0|0|0
580|F|U|Secondary|4500|Good|0|0|0
581|M|M|College|4500|Good|0|0|0
582|F|M|College|4500|Good|0|0|0
583|M|S|College|4500|Good|0|0|0
584|F|S|College|4500|Good|0|0|0
585|M|D|College|4500|Good|0|0|0
586|F|D|College|4500|Good|0|0|0
587|M|W|College|4500|Good|0|0|0
588|F|W|College|4500|Good|0|0|0
589|M|U|College|4500|Good|0|0|0
