wr_returned_date_sk|wr_returned_time_sk|wr_item_sk|wr_refunded_customer_sk|wr_refunded_cdemo_sk|wr_refunded_hdemo_sk|wr_refunded_addr_sk|wr_returning_customer_sk|wr_returning_cdemo_sk|wr_returning_hdemo_sk|wr_returning_addr_sk|wr_web_page_sk|wr_reason_sk|wr_order_number|wr_return_quantity|wr_return_amt|wr_return_tax|wr_return_amt_inc_tax|wr_fee|wr_return_ship_cost|wr_refunded_cash|wr_reversed_charge|wr_account_credit|wr_net_loss
2452512|31466|937|2159|124054|829|3164|2159|124054|829|3164|5|1|29|3|93.15|0.00|93.15|65.08|47.31|19.56|25.75|47.84|112.39
2452447|46016|1243|5599|96309|4779|4569|5599|96309|4779|4569|5|1|29|43|354.32|14.17|368.49|13.48|1737.20|336.60|6.37|11.35|1764.85
2451329|44968|128|1730|136607|4891|3095|1730|136607|4891|3095|4|1|30|53|0.00|0.00|0.00|79.31|2608.66|0.00|0.00|0.00|2687.97
2451691|58507|1417|9445|87732|6546|720|9445|87732|6546|720|4|3|32|6|71.64|2.14|73.78|79.21|124.02|8.59|18.28|44.77|205.37
|73659|1346|||4952|3014|||||1|3|33|||17.01|300.60|13.60|139.95||129.23|134.51|
2451536|69696|1418|3131|20016|1023|4797|3131|20016|1023|4797|1|2|34|82|1159.48|46.37|1205.85|38.55|3334.12|962.36|179.37|17.75|3419.04
2452198|43497|767|4480|126941|75|449|4480|126941|75|449|1|3|35|24|870.00|8.70|878.70|75.86|126.48|234.90|349.30|285.80|211.04
2452126|18038|983|3079|47761|4203|765|3079|47761|4203|765|1|3|35|39|379.08|15.16|394.24|69.38|2401.23|322.21|4.54|52.33|2485.77
2452027|38566|1221|3034|173296|1605|1467|3034|173296|1605|1467|3|2|36|11|52.80|4.75|57.55|0.57|203.17|29.56|9.52|13.72|208.49
2452267|59870|551|9810|140131|4372|3853|9810|140131|4372|3853|3|1|36|5|172.95|6.91|179.86|61.44|137.65|8.64|96.94|67.37|206.00
2451814|44894|985|6447|126158|5309|1540|6447|126158|5309|1540|1|1|38|36|1311.84|65.59|1377.43|42.09|451.44|1206.89|1.04|103.91|559.12
2451893|58036|1403|3280|121759|5471|143|3280|121759|5471|143|5|1|39|75|663.75|13.27|677.02|94.62|398.25|351.78|81.11|230.86|506.14
2452010|58220|1166|5225|61513|3721|4769|5225|61513|3721|4769|2|3|39|3|10.92|0.32|11.24|66.56|4.95|4.58|5.64|0.70|71.83
2451251|82390|967|4656|106766|6109|1459|4656|106766|6109|1459|2|3|42|18|1209.24|36.27|1245.51|59.99|323.46|0.00|544.15|665.09|419.72
2451370|20532|1178|1526|160873|6907|2974|1526|160873|6907|2974|4|3|42|27|1328.40|119.55|1447.95|20.62|2804.76|398.52|111.58|818.30|2944.93
2451165|33170|746|906|43695|1044|3113|906|43695|1044|3113|2|2|42|49|5007.31|350.51|5357.82|94.28|180.81|3004.38|741.08|1261.85|625.60
2451388|67116|151|7004|164942|1407|3185|7004|164942|1407|3185|1|1|42|23|618.24|18.54|636.78|15.84|843.18|562.59|38.95|16.70|877.56
2452068|55230|575|6754|92611|3715|372|6754|92611|3715|372|3|1|43|17|4186.08|83.72|4269.80|57.31|481.10|2093.04|879.07|1213.97|622.13
2451992|35722|1205|9968|112942|5723|2577|9968|112942|5723|2577|3|1|43|40|504.80|30.28|535.08|26.21|624.40|237.25|192.63|74.92|680.89
2452039|37419|477|4180|100385|1776|207|4180|100385|1776|207|1|3|43|5|274.75|2.74|277.49|87.11|31.70|16.48|10.33|247.94|121.55
2451372|26900|1616|3751|23985|4779|3646|3751|23985|4779|3646|2|3|44|9|228.06|4.56|232.62|42.00|40.50|166.48|4.31|57.27|87.06
2451406||1081|4663|61158|6053||4663|61158|6053|3348|||45|||149.11||75.19|2042.56||397.39|1131.05|2266.86
2451581|38768|1612|5912|123633|554|722|5912|123633|554|722|1|1|48|4|124.24|8.69|132.93|21.48|269.20|45.96|50.09|28.19|299.37
2451641|31818|830|9143|5103|3416|3576|9143|5103|3416|3576|2|1|48|52|2459.08|0.00|2459.08|78.29|1844.44|2237.76|146.07|75.25|1922.73
2451532|19806|130|6224|47926|4715|1537|6224|47926|4715|1537|2|2|48|31|5386.87|215.47|5602.34|93.90|3287.86|2477.96|1309.00|1599.91|3597.23
2452741|63455|1563|1502|17461|2860|3939|1502|17461|2860|3939|1|2|50|59|2451.45|196.11|2647.56|66.26|973.50|1176.69|318.69|956.07|1235.87
2452119|63575|997|6110|30055|273|2131|6110|30055|273|2131|1|1|51|33|45.54|0.00|45.54|76.29|10.56|14.57|15.17|15.80|86.85
2452099|67052|199|8437|111356|6148|3580|8437|111356|6148|3580|2|2|51|7|1127.84|0.00|1127.84|89.54|375.90|676.70|81.20|369.94|465.44
2452456|44308|1027|9163|168119|4755|2998|9163|168119|4755|2998|1|2|52|5|570.10|5.70|575.80|53.91|186.35|142.52|260.82|166.76|245.96
2451830|23653|467|466|92189|2312|4588|466|92189|2312|4588|2|2|53|36|3561.84|142.47|3704.31|46.34|1758.96|2564.52|937.48|59.84|1947.77
2452767|76905|504|6083|155506|6722|2465|6083|155506|6722|2465|1|1|54|5|57.40|0.57|57.97|70.72|19.40|19.51|35.99|1.90|90.69
2452733|61712|1362|1596|47496|2151|4446|1596|47496|2151|4446|6|2|54|60|4770.00|333.90|5103.90|28.00|644.40|906.30|1931.85|1931.85|1006.30
2451974|44355|727|2201|182486|4611|1216|2201|182486|4611|1216|5|1|55|28|1339.52|66.97|1406.49|18.33|570.92|910.87|60.01|368.64|656.22
2451032|51071|986|9995|15021|3374|3687|9995|15021|3374|3687|1|1|56|4|173.96|6.95|180.91|21.36|98.72|41.75|10.57|121.64|127.03
2451290|46952|1315|4605|16996|5947|2971|4605|16996|5947|2971|1|2|57|4|293.60|5.87|299.47|65.83|100.92|0.00|49.91|243.69|172.62
2451507|41331|445|2247|124340|5633|1679|2247|124340|5633|1679|4|1|58|5|396.30|11.88|408.18|43.45|117.05|210.03|139.70|46.57|172.38
2451793|23325|1142|7687|86797|1234|1984|7687|86797|1234|1984|2|2|59|22|77.22|6.17|83.39|70.16|334.84|76.44|0.62|0.16|411.17
2451353|73981|1706|2552|144598|2244|4090|2552|144598|2244|4090|2|2|60|75|7742.25|232.26|7974.51|35.63|4992.00|3638.85|1805.49|2297.91|5259.89
2451759|17440|1081|7512|101970|1388|2479|7512|101970|1388|2479|1|3|62|62|716.10|50.12|766.22|44.58|1042.22|694.61|6.44|15.05|1136.92
2451279|26601|320|2305|85849|3313|2217|2305|85849|3313|2217|4|1|64|36|446.76|17.87|464.63|79.24|213.48|8.93|8.75|429.08|310.59
2451342|1686|451|3243|151195|5594|4793|3243|151195|5594|4793|2|2|65|1|5.03|0.40|5.43|37.12|40.28|4.17|0.27|0.59|77.80
2451285|72998|766|7871|191394|2644|2454|7871|191394|2644|2454|2|3|65|20|481.80|38.54|520.34|99.89|38.00|433.62|43.36|4.82|176.43
2452022|57045|1601|5052|175598|591|384|5052|175598|591|384|2|3|67|45|6054.30|423.80|6478.10|93.96|1943.10|5388.32|19.97|646.01|2460.86
2451295|38736|1220|8135|151042|5113|4184|8135|151042|5113|4184|2|3|68|12|114.84|5.74|120.58|79.31|785.40|44.78|69.35|0.71|870.45
2452071|52702|1286|3363|128534|1592|4483|3363|128534|1592|4483|1|3|69|24|947.52|28.42|975.94|25.81|839.76|559.03|174.82|213.67|893.99
2452177||1357||152693|||4811|152693|2655|4024|1||69|19|2153.84|150.76|2304.60|38.07|839.99||667.69||1028.82
2451564|52809|74|4089|8716|6063|3|4089|8716|6063|3|1|2|71|32|661.76|59.55|721.31|65.85|220.48|46.32|30.77|584.67|345.88
2451505|63032|704|1498|133615|7125|962|1498|133615|7125|962|2|1|71|33|1615.02|32.30|1647.32|17.99|1239.48|242.25|315.73|1057.04|1289.77
2451597|66858|1660|9317|58624|1691|1278|9317|58624|1691|1278|4|2|71|16|1684.64|101.07|1785.71|70.18|921.28|1364.55|64.01|256.08|1092.53
2452153|46738|445|7222|178809|5949|1736|7222|178809|5949|1736|1|2|72|3|181.95|0.00|181.95|85.56|67.02|109.17|3.63|69.15|152.58
2452491|82372|987|9805|50091|5450|1049|9805|50091|5450|1049|1|2|73|1|7.78|0.07|7.85|22.87|38.92|3.11|0.79|3.88|61.86
2452746|68773|1003|8156|98272|1475|1111|8156|98272|1475|1111|6|3|75|12|121.20|8.48|129.68|0.63|29.76|107.86|6.00|7.34|38.87
2451977|46782|56|2897|50495|3933|3804|2897|50495|3933|3804|2|3|76|63|4153.59|249.21|4402.80|84.68|2010.96|3821.30|212.66|119.63|2344.85
2451558|41425|1231|2329|106936|6390|2844|2329|106936|6390|2844|1|2|77|11|699.60|62.96|762.56|87.39|118.80|6.99|450.19|242.42|269.15
|52520|691|3798||3145||3798|24215|3145|||2|78|8||||||800.81|||633.71
2452844|26226|873|9745|119742|699|1776|9745|119742|699|1776|1|1|78|5|18.65|0.37|19.02|17.40|14.90|9.51|6.48|2.66|32.67
2452647|64514|918|3488|24746|6964|2302|3488|24746|6964|2302|6|1|78|25|767.75|61.42|829.17|77.29|0.00|406.90|57.73|303.12|138.71
2451730|28598|1792||79827|5773||2835|79827|||2||79|19|||1609.82||499.13|||487.65|
||1036||||442|9633||2839|442||2|80|||||9.43||236.80|26.83|1315.09|608.07
2451646|56549|476|7820|57529|4978|500|7820|57529|4978|500|2|3|81|42|230.16|6.90|237.06|37.43|119.28|80.55|8.97|140.64|163.61
2452216|36435|1523|8944|86679|6814|1149|8944|86679|6814|1149|1|1|82|2|78.08|3.90|81.98|77.96|2.00|63.24|14.69|0.15|83.86
2452257|34782|667|1629|154885|541|3397|1629|154885|541|3397|1|1|82|5|131.55|3.94|135.49|24.08|70.85|59.19|62.95|9.41|98.87
2452700|51986|661|1787|48252|7070|735|1787|48252|7070|735|1|3|85|23|142.14|2.84|144.98|21.40|629.97|56.85|61.40|23.89|654.21
2451522|15505|808|4558|116125|3885|4372|4558|116125|3885|4372|1|1|86|47|1417.99|42.53|1460.52|87.34|54.52|1162.75|48.49|206.75|184.39
|46434|1304|9588||1649||9588|143002|1649||2||89||2846.34||2846.34|||||206.65|1205.32
2452509|50871|415|7564|187741|4558|255|7564|187741|4558|255|1|2|90|30|660.60|19.81|680.41|95.98|315.90|257.63|225.66|177.31|431.69
2452392|43620|1131|1754|36707|4027|4787|1754|36707|4027|4787|3|1|92|2|157.70|11.03|168.73|65.97|23.48|64.65|52.10|40.95|100.48
2451192|82266|374|5357|103829|5741|2686|5357|103829|5741|2686|2|3|94|39|4095.39|245.72|4341.11|66.32|421.59|3112.49|540.59|442.31|733.63
2451105|74891|410|6650|156709|128|420|6650|156709|128|420|1|2|94|16|1731.20|0.00|1731.20|22.56|328.32|190.43|446.82|1093.95|350.88
2452713|44242|24|5377|139135|653|1891|5377|139135|653|1891|3|1|97|2|375.00|18.75|393.75|78.06|132.80|303.75|42.03|29.22|229.61
2452046|48347|19|8887|52443|3486|762|8887|52443|3486|762|3|3|98|7|253.05|15.18|268.23|54.02|142.52|245.45|6.99|0.61|211.72
2451812|71972|1717|6745|90717|524|3764|6745|90717|524|3764|4|1|99|11|574.31|0.00|574.31|48.74|557.37|126.34|443.49|4.48|606.11
2451695|80622|920|6875|156669|270|4744|6875|156669|270|4744|2|3|99|53|1808.36|162.75|1971.11|2.02|3164.63|1175.43|506.34|126.59|3329.40
2451477|33819|1729|1853|111195|2537|279|1853|111195|2537|279|2|3|102|79|6022.17|180.66|6202.83|78.89|2760.26|5841.50|43.36|137.31|3019.81
2451499|26274|50|8226|18345|6384|4310|8226|18345|6384|4310|1|3|102|6|471.60|0.00|471.60|26.56|46.08|179.20|8.77|283.63|72.64
2451409|35833|907|2167|64828|1762|1736|2167|64828|1762|1736|1|1|102|8|17.76|0.88|18.64|14.72|106.56|11.54|4.41|1.81|122.16
2451940|28527|1064|3530|151183|6949|3482|3530|151183|6949|3482|1|2|103|19|681.34|20.44|701.78|94.69|1557.43|442.87|238.47|0.00|1672.56
2451674|17177|1753|4801|149545|242|1539|4801|149545|242|1539|1|2|104|19|60.04|1.80|61.84|40.15|290.70|48.63|5.81|5.60|332.65
2451523|77631|868|4742|98661|2020|1459|4742|98661|2020|1459|4|2|104|84|3066.00|245.28|3311.28|15.02|31.08|643.86|193.77|2228.37|291.38
2451517|75876|922|4401|29553|1455|2957|4401|29553|1455|2957|1|3|108|18|788.22|15.76|803.98|49.26|408.24|204.93|87.49|495.80|473.26
2451577|57144|608|2042|135782|5362|3575|2042|135782|5362|3575|2|1|108|31|570.09|34.20|604.29|87.41|427.49|188.12|362.87|19.10|549.10
2451943|4558|200|1120|29532|6664|36|1120|29532|6664|36|1|2|109|21|147.21|13.24|160.45|36.57|474.81|135.43|0.82|10.96|524.62
2452174|59261|182|9696|105690|6117|1951|9696|105690|6117|1951|1|1|110|49|1070.16|85.61|1155.77|46.57|1399.44|609.99|41.41|418.76|1531.62
2451332|18296|1102|8850|183005|3800|3922|8850|183005|3800|3922|2|3|112|1|5.20|0.00|5.20|2.11|20.82|4.36|0.82|0.02|22.93
2452104|10921|1177|8630|47659|2368|2637|8630|47659|2368|2637|1|3|113|8|82.80|0.00|82.80|0.95|434.80|34.77|43.22|4.81|435.75
2452378|30563|229|2897|101678|732|3873|2897|101678|732|3873|1|3|114|6|289.08|11.56|300.64|76.57|76.20|271.73|2.94|14.41|164.33
2452313|70254|1383|8391|103749|3267|4105|8391|103749|3267|4105|1|3|114|1|14.75|0.14|14.89|91.54|3.34|6.63|0.16|7.96|95.02
2452319|78853|39|4417|153135|2380|938|4417|153135|2380|938|3|3|114|11|164.01|13.12|177.13|33.38|89.43|16.40|17.71|129.90|135.93
2451264|57895|1291|6477|128075|2360|1125|6477|128075|2360|1125|2|3|115|35|141.40|12.72|154.12|96.89|70.70|15.55|91.87|33.98|180.31
2451302|70578|1531|4421|137642|5183|164|4421|137642|5183|164|4|2|115|40|668.00|6.68|674.68|19.14|1425.20|146.96|323.04|198.00|1451.02
2451809|41394|643|5486|38646|6606|166|5486|38646|6606|166|5|1|116|11|38.83|0.00|38.83|26.01|15.51|21.35|5.41|12.07|41.52
2451741|25206|1022|1008|155999|3950|2021|1008|155999|3950|2021|1|1|116|10|1790.40|71.61|1862.01|88.22|801.00|1020.52|138.57|631.31|960.83
2451595|25208|229|6657|69445|4473|1381|6657|69445|4473|1381|5|1|116|12|378.48|11.35|389.83|63.19|320.28|166.53|110.21|101.74|394.82
2451534|5920|1009|5189|94829|2822|1462|5189|94829|2822|1462|4|2|117|6|1078.14|21.56|1099.70|33.31|292.80|75.46|521.39|481.29|347.67
2452007|74735|20|258|128500|4662|2264|258|128500|4662|2264|1|2|118|72|2674.08|240.66|2914.74|42.52|772.56|80.22|1867.57|726.29|1055.74
2452727|66027|73|5308|172986|5944|4709|5308|172986|5944|4709|1|1|119|66|3679.50|36.79|3716.29|80.03|2060.52|183.97|1922.54|1572.99|2177.34
2452304|62353|527|4623|118161|4946|2284|4623|118161|4946|2284|5|3|121|2|30.06|1.20|31.26|75.97|18.54|28.85|1.14|0.07|95.71
2452632|14610|588|809|133657|3865|4993|809|133657|3865|4993|1|2|123|9|594.27|53.48|647.75|66.00|101.79|481.35|7.90|105.02|221.27
2451789|58207|866|5146|149868|6557|4039|5146|149868|6557|4039|5|3|124|37|133.94|4.01|137.95|21.03|80.29|66.97|8.03|58.94|105.33
2451846|31526|1115|691|80867|3|4506|691|80867|3|4506|2|1|124|38|2751.96|247.67|2999.63|75.74|152.76|1678.69|987.40|85.87|476.17
2451710|17785|421|6826|13404|1665|646|6826|13404|1665|646|2|2|126|21|1923.81|115.42|2039.23|39.80|1082.13|307.80|500.96|1115.05|1237.35
2451687|8140|1321|4245|110888|6764|2047|4245|110888|6764|2047|2|2|126|2|262.90|2.62|265.52|78.26|16.08|102.53|83.39|76.98|96.96
2451725|58553|400|9125|116954|5216|1885|9125|116954|5216|1885|1|3|128|64|9039.36|723.14|9762.50|86.98|3083.52|6779.52|1988.65|271.19|3893.64
2451401|80760|1508|184|97125|7139|1640|184|97125|7139|1640|1|2|129|3|114.33|10.28|124.61|75.87|81.00|57.16|46.30|10.87|167.15
2451407||1390|2401|122063|5692|4114|2401|122063|5692|4114|4|2|132|44|96.80|6.77|103.57||290.84|67.76|4.06|24.98|
2451294|72851|1162|8481|53321|7168|2688|8481|53321|7168|2688|1|3|132|35|1403.15|0.00|1403.15|49.71|1068.90|280.63|987.81|134.71|1118.61
2451570|51002|410|1702|28420|7185|903|1702|28420|7185|903|4|1|135|37|4192.10|83.84|4275.94|65.97|509.86|2054.12|1539.34|598.64|659.67
2452378|38449|1597|1307|89316|365|494|1307|89316|365|494|3|3|136|26|1308.84|26.17|1335.01|52.75|888.16|746.03|22.51|540.30|967.08
2451549|39283|862|6227|151050|6400|4063|6227|151050|6400|4063|2|3|137|10|125.90|1.25|127.15|37.59|17.70|85.61|36.26|4.03|56.54
2451512|66828|1795|7732|189891|6177|4576|7732|189891|6177|4576|1|3|137|37|2204.83|22.04|2226.87|61.35|319.31|0.00|1785.91|418.92|402.70
2451690|16982|1166|4313|77157|2688|452|4313|77157|2688|452|4|1|137|44|766.92|38.34|805.26|21.48|496.32|53.68|135.51|577.73|556.14
2451550|40133|2|3870|27889|6341|1400|3870|27889|6341|1400|1|2|138|16|101.12|3.03|104.15|64.93|151.68|4.04|50.48|46.60|219.64
2451263|3252|524|9688|88927|5366|3005|9688|88927|5366|3005|1|2|139|30|583.20|40.82|624.02|32.63|205.80|519.04|21.81|42.35|279.25
2451848|33220|940|9110|10749|5221|4853|9110|10749|5221|4853|4|2|141|60|556.80|44.54|601.34|31.69|487.20|200.44|42.76|313.60|563.43
2451629|81126|562|4815|95853|2251|569|4815|95853|2251|569|4|1|141|7|230.30|4.60|234.90|70.97|148.05|168.11|46.02|16.17|223.62
2451611|29573|1484|9167|45182|4397|3412|9167|45182|4397|3412|1|3|142|11|403.37|28.23|431.60|79.27|479.05|96.80|79.70|226.87|586.55
2451690|72741|98|7559|49809|2812|3415|7559|49809|2812|3415|4|2|142|57|10771.86|107.71|10879.57|11.40|4720.17|7863.45|203.58|2704.83|4839.28
2451030|54640|670|1111|87515|7119|3523|1111|87515|7119|3523|1|1|143|2|81.78|1.63|83.41|88.13|44.88|64.60|7.73|9.45|134.64
2452474|73509|1158|7999|150562|292|615|7999|150562|292|615|6|2|144|46|4451.42|222.57|4673.99|14.98|1963.74|979.31|312.48|3159.63|2201.29
2452674|17830|549|3236|13600|5564|4528|3236|13600|5564|4528|1|2|144|14|207.48|4.14|211.62|46.93|691.60|22.82|42.47|142.19|742.67
2452522|77572|283|7245|134887|289|4458|7245|134887|289|4458|1|1|144|28|309.40|3.09|312.49|45.55|647.08|293.93|4.64|10.83|695.72
2451325|60880|1174|7353|157568|6343|791|7353|157568|6343|791|2|2|145|10|451.50|27.09|478.59|54.36|685.10|442.47|4.24|4.79|766.55
2451941|31339|122|9021|135042|4376|1077|9021|135042|4376|1077|1|1|146|9|102.06|9.18|111.24|14.00|97.56|1.02|10.10|90.94|120.74
2451857|17349|1663|7371|151180|909|4078|7371|151180|909|4078|2|1|146|59|2067.36|103.36|2170.72|94.96|585.28|0.00|661.55|1405.81|783.60
2452092|34287|937|5087|96892|6057|1942|5087|96892|6057|1942|2|3|147|25|4158.50|249.51|4408.01|86.14|2100.25|998.04|2876.01|284.45|2435.90
2452388|59897|97|3484|161220|2156|2292|3484|161220|2156|2292|3|2|148|3|149.46|4.48|153.94|66.52|46.32|98.64|17.78|33.04|117.32
2452232|31304|1437|2066|172498|1090|2602|2066|172498|1090|2602|3|2|149|34|1485.12|103.95|1589.07|89.70|1242.02|876.22|194.84|414.06|1435.67
2452187|34018|1411|8206|102236|4026|2983|8206|102236|4026|2983|1|1|149|28|1792.84|107.57|1900.41|50.02|1394.40|932.27|103.26|757.31|1551.99
2452529|8617|1603|5687|35631|3975|119|5687|35631|3975|119|1|2|150|61|4390.78|87.81|4478.59|28.66|46.97|4039.51|179.14|172.13|163.44
2451641|21898|1226|1557|100629|4788|3780|1557|100629|4788|3780|2|1|153|24|1560.72|124.85|1685.57|27.37|267.36|842.78|344.61|373.33|419.58
2451308|2377|931|5167|174152|1504|4049|5167|174152|1504|4049|4|3|156|1|220.17|8.80|228.97|32.03|37.59|145.31|67.37|7.49|78.42
2451379||64|6635|159062||||159062||4603|4||156|||142.40||||||170.90|1291.15
2451755|46137|716|6204|25330|1416|3222|6204|25330|1416|3222|1|3|158|28|522.20|36.55|558.75|16.84|454.16|313.32|183.81|25.07|507.55
2451619|25850|13|1623|10156|816|389|1623|10156|816|389|2|3|158|6|768.00|30.72|798.72|25.19|274.26|514.56|157.13|96.31|330.17
2451685|34954|148|5644|6131|698|625|5644|6131|698|625|4|1|160|61|115.90|3.47|119.37|22.40|90.89|37.08|40.19|38.63|116.76
2451373|77164|1388|9207|144674|2941|2008|9207|144674|2941|2008|2|1|163|21|70.56|5.64|76.20|23.19|15.12|50.09|1.43|19.04|43.95
2452915|75429|852|2173|156947|843|2779|2173|156947|843|2779|3|1|164|63|3491.46|279.31|3770.77|50.65|1963.71|558.63|322.61|2610.22|2293.67
2452840|49547|1603|946|59342|6971|3607|946|59342|6971|3607|1|3|165|31|5564.19|222.56|5786.75|13.43|133.92|3338.51|89.02|2136.66|369.91
2452689|45788|1320|9498|106577|6776|1615|9498|106577|6776|1615|1|1|165|52|1832.48|73.29|1905.77|33.17|2228.72|678.01|669.59|484.88|2335.18
2452857|17695|1554|7731|188923|6835|2587|7731|188923|6835|2587|6|2|165|21|261.66|10.46|272.12|43.95|805.14|196.24|65.42|0.00|859.55
2452843|50266|744|308|56734|2247|1793|308|56734|2247|1793|3|3|165|74|3732.56|74.65|3807.21|94.56|1111.48|3620.58|68.30|43.68|1280.69
2452719|70312|1398|8244|46532|5220|2508|8244|46532|5220|2508|3|1|165|8|1029.28|82.34|1111.62|23.00|418.48|771.96|120.94|136.38|523.82
2451143|34451|475|9405|671|1341|2698|9405|671|1341|2698|1|2|167|93|1644.24|49.32|1693.56|58.56|961.62|279.52|982.59|382.13|1069.50
2451248|69696|43|4851|82824|350|1923|4851|82824|350|1923|1|1|167|13|283.53|5.67|289.20|63.43|462.67|204.14|64.30|15.09|531.77
2451290|61906|808|4225|66415|2605|3548|4225|66415|2605|3548|4|1|167|32|879.68|0.00|879.68|76.33|1539.52|580.58|158.52|140.58|1615.85
2452481|25366|121|7763|57208|592|3936|7763|57208|592|3936|1|1|168|12|2992.56|209.47|3202.03|29.90|1323.00|1256.87|277.71|1457.98|1562.37
2451116|66014|835|4931|10481|3504|3014|4931|10481|3504|3014|1|1|169|45|567.45|34.04|601.49|63.11|215.10|505.03|53.05|9.37|312.25
2451086|53133|1478|4332|132943|3314|2805|4332|132943|3314|2805|2|3|169|4|379.60|18.98|398.58|86.08|136.16|277.10|22.55|79.95|241.22
2452714|71077|661|10|53208|6933|1371|10|53208|6933|1371|6|1|171|23|1526.74|137.40|1664.14|90.97|287.50|1297.72|66.41|162.61|515.87
